href	resolved_url	label	is_html	is_external
documents/kirov/Serov_Memo_Volkova.doc	http://perpetrator2004.narod.ru/documents/kirov/Serov_Memo_Volkova.doc	Записка И.А.Серова А. Б. Аристову	no	no
documents/kirov/Molotov_Commission_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Molotov_Commission_Memo.doc	Записка комиссии ЦК КПСС под председательством В.М. Молотова	no	no
documents/kirov/Molotov_Commission_Borisov.doc	http://perpetrator2004.narod.ru/documents/kirov/Molotov_Commission_Borisov.doc	Записка комиссии ЦК КПСС под председательством В.М.Молотова ЦК КПСС об обстоятельствах гибели М.В. Борисова	no	no
documents/kirov/Shatunovskaya_Letters.doc	http://perpetrator2004.narod.ru/documents/kirov/Shatunovskaya_Letters.doc	Письма О.Г. Шатуновской членам Политбюро об обстоятельствах убийства С.М. Кирова	no	no
documents/kirov/CCC_Memo_Shatunovskaya.doc	http://perpetrator2004.narod.ru/documents/kirov/CCC_Memo_Shatunovskaya.doc	Записка Центральной контрольной комиссии КП РСФСР в ЦК КПСС о результатах проверки заявлений О.Г. Шатуновской	no	no
documents/kirov/Yakovlev_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Yakovlev_Memo.doc	Записка А.Н. Яковлева	no	no
documents/kirov/Krov_Assassination_Memo_GPO_KGB.doc	http://perpetrator2004.narod.ru/documents/kirov/Krov_Assassination_Memo_GPO_KGB.doc	Справка работников прокуратуры СССР и следственного отдела КГБ СССР	no	no
documents/Great_Terror/Shvernik_Report.rar	http://perpetrator2004.narod.ru/documents/Great_Terror/Shvernik_Report.rar	Доклад комиссии Шверника	no	no
documents/Great_Terror/CEC_Order_dated_1_12_1934.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/CEC_Order_dated_1_12_1934.doc	Постановление Президиума ЦИК СССР от 1 декабря 1934 г	no	no
documents/Great_Terror/Number_of_Arrested_Condemned_by_Organs.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Number_of_Arrested_Condemned_by_Organs.doc	Справки спецотдела МВД СССР о количестве арестованных и осужденных органами ВЧК - ОГПУ - НКВД - МГБ СССР в 1921 -1953 гг.	no	no
documents/Great_Terror/Number_of_Condemned_by_Special_Commission.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Number_of_Condemned_by_Special_Commission.doc	Докладная записка С. Н. Круглова и Р. А. Руденко Н. С. Хрущеву о пересмотре дел осужденных особым совещанием при НКВД- МГБ СССР	no	no
documents/Leningrad_Affair/Rudenko_Speech_Leningrad.doc	http://perpetrator2004.narod.ru/documents/Leningrad_Affair/Rudenko_Speech_Leningrad.doc	Правленая стенограмма выступления Р. А. Руденко	no	no
