rank	document_post_id	document_title	content_words	process_title	collection_title	document_url
73	5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	6596	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	СПРАВКА	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-i-tyuremnyh-zapisok-g-e-zinoveva/
74	7214	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением документов, найденных при обыске у Н.В. Комогорова	6540	РАЗНЫЕ ДОКУМЕНТЫ	РАЗНЫЕ ДОКУМЕНТЫ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-dokumentov-nadejnnyh-pri-obyske-u-n-v-komogorova/
75	5925	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	6506	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-2/
76	7724	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко	6468	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-yakovenko/
77	7787	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	6394	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-d-zajczeva-2/
78	8702	Протокол допроса Н.И. Бухарина	6338	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/protokol-doprosa-n-i-buharina/
79	6316	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса И.Д. Турока	6321	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-i-d-turoka/
80	2487	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES	6258	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-the-new-york-times/
81	9431	Стенограмма заседания парткома ИККИ по вопросу о Г.Б. Синани-Скалове	6238	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	http://showtrials.ru/stenogramma-zasedaniya-partkoma-ikki-po-voprosu-o-g-b-sinani-skalove/
82	8621	Стенограмма очной ставки между К.Б. Радеком и Н.И. Бухариным в ЦК ВКП(б)	6169	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/stenogramma-ochnoj-stavki-mezhdu-k-b-radekom-i-n-i-buharinym-v-czk-vkpb/
