rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
64	3015	Заявление В.И. Звездова в СПО Ленинградского управления НКВД	123	843	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/zayavlenie-v-i-zvezdova-v-spo-leningradskogo-upravleniya-nkvd/
65	11333	Л.Л. Седов – Н.И. Седовой	124	823	ТРОЦКИЙ	ТРОЦКИЙ	Троцкий Седов и другие		http://showtrials.ru/l-l-sedov-n-i-sedovoj-9/
66	11343	Л.Л. Седов – Н.И. Седовой	125	778	ТРОЦКИЙ	ТРОЦКИЙ	Троцкий Седов и другие		http://showtrials.ru/l-l-sedov-n-i-sedovoj-13/
67	3455	Протокол допроса И.И. Тарасова	126	766	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-i-i-tarasova-5/
68	3418	Протокол допроса И.Г. Жестянникова	127	827	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-i-g-zhestyannikova/
69	5241	Постановление Политбюро ЦК ВКП(б) о мерах наказания по “Кремлевскому делу”	128	843	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия кремлевского дела		http://showtrials.ru/postanovlenie-politbyuro-czk-vkpb-o-merah-nakazaniya-po-kremlevskomu-delu/
70	4455	Показания Н.К. Магдарьева	128	776	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pokazaniya-n-k-magdareva-2/
71	4092	Показания А.И. Анишева	129	771	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pokazaniya-a-i-anisheva-2/
72	3991	Протокол допроса М.С. Рэма	129	817	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-m-s-rema-5/
73	2733	Протокол допроса И.И. Котолынова	131	806	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-i-kotolynova-4/
74	10793	Л.Л. Седов – В.П. Ольбергу	132	834	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-28/
75	4575	Письмо Г.Е. Зиновьева И.В. Сталину с просьбой о личном приеме	133	772	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Другие документы московского центра		http://showtrials.ru/pismo-g-e-zinoveva-i-v-stalinu-s-prosboj-o-lichnom-prieme/
76	3061	Протокол допроса В.С. Левина	134	858	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-v-s-levina-4/
77	4355	Протокол допроса Г.И. Сафарова	135	973	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-g-i-safarova-18/
78	3191	Протокол допроса И.И. Котолынова	135	848	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-i-kotolynova-12/
79	7273	Шифртелеграмма Н.Н. Крестинского А.А. Трояновскому о показаниях В.Г. Ромма	135	776	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1937		http://showtrials.ru/shifrtelegramma-n-n-krestinskogo-a-a-troyanovskomu-o-pokazaniyah-v-g-romma/
80	3029	Протокол допроса В.В. Румянцева	137	843	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-v-v-rumyanczeva-7/
81	5691	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте И.М. Бык-Бека, Г.М. Аркуса, А.М. Аркус и А.В. Галкина	137	940	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936	Зиновьевский центр	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-i-m-byk-beka-g-m-arkusa-a-m-arkus-i-a-v-galkina/
82	5686	Заявление Д.А. Шмидта И.В. Сталину	137	836	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936 | Материалы следствия 1937	Военные-троцкисты	http://showtrials.ru/zayavlenie-d-a-shmidta-i-v-stalinu/
83	3118	Протокол допроса Н.П. Мясникова	139	836	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-p-myasnikova-4/
84	2723	Протокол допроса Н.С. Антонова	140	886	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-s-antonova-3/
85	8709	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания	142	955	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин | Материалы следствия 1938	Правые | Бухарин	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-n-i-buharina-o-soglasii-davat-pokazaniya/
86	3944	Протокол допроса М.С. Рэма	142	799	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-m-s-rema-3/
87	3157	Протокол допроса В.В. Румянцева	142	980	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-v-v-rumyanczeva-8/
88	3047	Протокол допроса А.И. Толмазова	143	921	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-a-i-tolmazova-7/
89	10768	В.П. Ольберг – Л.Л. Седову	143	975	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-13/
90	3277	Письмо Г.И. Сафарова И.В. Сталину	144	960	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pismo-g-i-safarova-i-v-stalinu/
91	2731	Протокол допроса Н.С. Антонова	144	1006	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-n-s-antonova-4/
92	9100	Л.Л. Седов – В.П. Ольбергу	144	875	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-4/
93	9433	Постановление парткома ИККИ об исключении Г.Б. Синани-Скалова из ВКП(б)	145	1019	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	Синани		http://showtrials.ru/postanovlenie-partkoma-ikki-ob-isklyuchenii-g-b-sinani-skalova-iz-vkpb/
94	8568	Показания Н.А. Угланова	145	893	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	Предыстория 1933	Правые	http://showtrials.ru/pokazaniya-n-a-uglanova/
95	3030	Протокол допроса И.И. Котолынова	146	872	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-i-kotolynova-9/
96	4067	Протокол допроса В.Н. Цатуровой-Большаковой	147	860	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-v-n-czaturovoj-bolshakovoj-2/
97	3902	Протокол допроса Ф.Г. Наливайко	147	994	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-f-g-nalivajko/
98	7096	Шифртелеграмма А.А. Трояновского в НКИД и Политбюро ЦК об ответе на телеграмму Н. Томаса	148	899	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1937		http://showtrials.ru/shifrtelegramma-a-a-troyanovskogo-v-nkid-i-politbyuro-czk-ob-otvete-na-telegrammu-n-tomasa/
99	3453	Протокол допроса Л.Я. Файвиловича	149	997	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-l-ya-fajvilovicha-2/
100	10766	В.П. Ольберг – Л.Л. Седову	149	951	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-12/
