file	filename	chars	words	lines	html_tag_like	html_entity_like	nbsp_char	many_spaces	many_blank_lines	footnote_marker	archive_ref	editorial_braces	angle_editorial	stamp_marker
/tmp/showtrials-discovery/export-txt/11082_zayavlenie-g-l-pyatakova-v-czkk-vkpb-o-razryve-s-oppozicziej.txt	11082_zayavlenie-g-l-pyatakova-v-czkk-vkpb-o-razryve-s-oppozicziej.txt	6991	1029	48	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11086_zayavleniya-a-a-antonova-ovseenko-i-n-n-krestinskogo-o-razryve-s-troczkistskoj-o.txt	11086_zayavleniya-a-a-antonova-ovseenko-i-n-n-krestinskogo-o-razryve-s-troczkistskoj-o.txt	6678	978	101	1	0	12	0	0	0	0	0	1	0
/tmp/showtrials-discovery/export-txt/11155_proekt-zayavleniya-i-n-smirnova-o-razryve-s-oppozicziej.txt	11155_proekt-zayavleniya-i-n-smirnova-o-razryve-s-oppozicziej.txt	5499	705	50	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11228_speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-byvshih-zinovevczev.txt	11228_speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-byvshih-zinovevczev.txt	2872	432	58	24	0	8	0	0	0	5	0	24	0
/tmp/showtrials-discovery/export-txt/11258_proekt-postanovleniya-prokurora-soyuza-ssr-a-ya-vyshinskogo-o-prekrashhenii-sled.txt	11258_proekt-postanovleniya-prokurora-soyuza-ssr-a-ya-vyshinskogo-o-prekrashhenii-sled.txt	6563	903	85	0	0	36	0	0	0	10	0	0	0
/tmp/showtrials-discovery/export-txt/11277_l-l-sedov-l-d-troczkomu-4.txt	11277_l-l-sedov-l-d-troczkomu-4.txt	9831	1501	119	0	0	7	0	0	6	1	0	0	0
/tmp/showtrials-discovery/export-txt/11284_l-l-sedov-l-d-troczkomu-5.txt	11284_l-l-sedov-l-d-troczkomu-5.txt	4570	697	53	0	0	8	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11286_11286-2.txt	11286_11286-2.txt	1405	198	46	0	0	4	0	0	0	0	1	0	0
/tmp/showtrials-discovery/export-txt/11289_l-l-sedov-l-d-troczkomu-6.txt	11289_l-l-sedov-l-d-troczkomu-6.txt	1090	161	31	0	0	4	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11291_l-l-sedov-l-d-troczkomu-7.txt	11291_l-l-sedov-l-d-troczkomu-7.txt	4418	649	67	0	0	8	0	0	4	0	0	0	0
/tmp/showtrials-discovery/export-txt/11293_l-l-sedov-l-d-troczkomu-8.txt	11293_l-l-sedov-l-d-troczkomu-8.txt	3797	556	38	0	0	7	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11295_l-l-sedov-l-d-troczkomu-9.txt	11295_l-l-sedov-l-d-troczkomu-9.txt	4243	647	73	0	0	12	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11298_l-l-sedov-l-d-troczkomu-10.txt	11298_l-l-sedov-l-d-troczkomu-10.txt	3300	565	31	0	0	5	0	0	4	0	0	0	0
/tmp/showtrials-discovery/export-txt/11300_l-l-sedov-l-d-troczkomu-11.txt	11300_l-l-sedov-l-d-troczkomu-11.txt	7325	1167	69	0	0	5	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11302_l-l-sedov-l-d-troczkomu-12.txt	11302_l-l-sedov-l-d-troczkomu-12.txt	1397	222	37	0	0	7	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11304_l-l-sedov-l-d-troczkomu-13.txt	11304_l-l-sedov-l-d-troczkomu-13.txt	9396	1331	88	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11306_l-l-sedov-l-d-troczkomu-14.txt	11306_l-l-sedov-l-d-troczkomu-14.txt	3452	553	35	0	0	4	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11308_l-l-sedov-n-i-sedovoj.txt	11308_l-l-sedov-n-i-sedovoj.txt	6199	958	66	0	0	6	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11312_l-l-sedov-n-i-sedovoj-2.txt	11312_l-l-sedov-n-i-sedovoj-2.txt	8992	1387	65	0	0	7	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11316_l-l-sedov-n-i-sedovoj-3.txt	11316_l-l-sedov-n-i-sedovoj-3.txt	1190	184	28	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11318_l-l-sedov-n-i-sedovoj-4.txt	11318_l-l-sedov-n-i-sedovoj-4.txt	618	92	24	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11323_l-l-sedov-n-i-sedovoj-5.txt	11323_l-l-sedov-n-i-sedovoj-5.txt	1291	191	10	0	0	1	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11325_l-l-sedov-n-i-sedovoj-6.txt	11325_l-l-sedov-n-i-sedovoj-6.txt	563	82	14	0	0	3	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11327_l-l-sedov-n-i-sedovoj-telegramma.txt	11327_l-l-sedov-n-i-sedovoj-telegramma.txt	204	23	12	0	0	3	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11329_l-l-sedov-n-i-sedovoj-7.txt	11329_l-l-sedov-n-i-sedovoj-7.txt	1324	218	30	0	0	6	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11331_l-l-sedov-n-i-sedovoj-8.txt	11331_l-l-sedov-n-i-sedovoj-8.txt	765	113	34	0	0	6	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11333_l-l-sedov-n-i-sedovoj-9.txt	11333_l-l-sedov-n-i-sedovoj-9.txt	850	124	20	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11335_l-l-sedov-n-i-sedovoj-10.txt	11335_l-l-sedov-n-i-sedovoj-10.txt	3070	515	49	0	0	6	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11338_l-l-sedov-n-i-sedovoj-11.txt	11338_l-l-sedov-n-i-sedovoj-11.txt	1655	264	35	0	0	5	0	0	2	0	0	0	0
/tmp/showtrials-discovery/export-txt/11341_l-l-sedov-n-i-sedovoj-12.txt	11341_l-l-sedov-n-i-sedovoj-12.txt	1045	171	22	0	0	3	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11343_l-l-sedov-n-i-sedovoj-13.txt	11343_l-l-sedov-n-i-sedovoj-13.txt	808	125	22	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11346_l-l-sedov-n-i-sedovoj-14.txt	11346_l-l-sedov-n-i-sedovoj-14.txt	1399	226	30	0	0	5	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11348_l-l-sedov-n-i-sedovoj-15.txt	11348_l-l-sedov-n-i-sedovoj-15.txt	1563	245	40	0	0	4	0	0	0	0	0	0	0
/tmp/showtrials-discovery/export-txt/11405_zayavlenie-g-e-zinoveva-i-v-stalinu-2.txt	11405_zayavlenie-g-e-zinoveva-i-v-stalinu-2.txt	2821	443	38	0	0	5	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/11411_zayavlenie-g-e-zinoveva-i-v-stalinu-s-prosboj-o-trudoustrojstve.txt	11411_zayavlenie-g-e-zinoveva-i-v-stalinu-s-prosboj-o-trudoustrojstve.txt	1139	168	38	0	0	28	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/11413_stenogramma-zasedaniya-prezidiuma-czkk-vkpb.txt	11413_stenogramma-zasedaniya-prezidiuma-czkk-vkpb.txt	123675	19509	418	0	0	5	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/11418_pismo-l-b-kameneva-i-v-stalinu-o-zaderzhke-stati-prednaznachennoj-dlya-publikacz.txt	11418_pismo-l-b-kameneva-i-v-stalinu-o-zaderzhke-stati-prednaznachennoj-dlya-publikacz.txt	1809	278	24	0	0	4	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/1344_dopros-p-nikolaeva-7-dekabrya-1934.txt	1344_dopros-p-nikolaeva-7-dekabrya-1934.txt	675	96	26	0	0	0	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/1348_dopros-p-nikolaeva-8-dekabrya-1934.txt	1348_dopros-p-nikolaeva-8-dekabrya-1934.txt	3631	549	72	1	0	11	0	0	0	5	0	1	0
/tmp/showtrials-discovery/export-txt/1349_dopros-p-nikolaeva-10-dekabrya-1934.txt	1349_dopros-p-nikolaeva-10-dekabrya-1934.txt	3728	574	48	0	0	0	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/1350_dopros-p-nikolaeva-11-dekabrya-1934.txt	1350_dopros-p-nikolaeva-11-dekabrya-1934.txt	6121	926	81	2	0	24	0	0	8	7	0	2	0
/tmp/showtrials-discovery/export-txt/1351_dopros-p-nikolaeva-12-dekabrya-1934.txt	1351_dopros-p-nikolaeva-12-dekabrya-1934.txt	1642	262	38	0	0	7	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/1352_dopros-p-nikolaeva-1-14-dekabrya-1934.txt	1352_dopros-p-nikolaeva-1-14-dekabrya-1934.txt	2397	376	50	0	0	7	0	0	0	5	0	0	0
/tmp/showtrials-discovery/export-txt/1353_dopros-p-nikolaeva-2-14-dekabrya-1934.txt	1353_dopros-p-nikolaeva-2-14-dekabrya-1934.txt	1594	234	48	0	0	9	0	0	0	5	0	0	0
