id	date	modified	slug	link	status	type	format	template	categories	tags	meta_keys	acf_keys	top_level_keys
8327	1938-01-24T22:44:42	2022-04-18T10:54:46	zapis-razgovorov-po-obektu-v-87-2	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-2/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8719	1938-01-15T08:29:42	2022-05-23T08:36:38	pismo-n-i-buharina-a-m-larinoj	http://showtrials.ru/pismo-n-i-buharina-a-m-larinoj/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8325	1938-01-12T21:26:00	2022-04-18T10:53:16	zapis-razgovorov-po-obektu-v-87	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8315	1938-01-09T09:35:01	2022-04-18T10:52:56	zapis-razgovorov-po-obektu-v-87-%e2%84%96-15	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-%e2%84%96-15/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8289	1938-01-01T11:57:04	2022-04-18T10:54:15	zapis-razgovorov-po-obektu-v-87-%e2%84%96-1	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-%e2%84%96-1/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8712	1937-12-10T21:47:47	2022-05-22T21:59:26	pismo-n-i-buharina-i-v-stalinu-24	http://showtrials.ru/pismo-n-i-buharina-i-v-stalinu-24/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8287	1937-11-14T12:19:45	2023-04-09T22:21:31	pismo-n-i-buharina-i-v-stalinu-s-prilozheniem-zapiski-o-stalinskom-rukovodstve	http://showtrials.ru/pismo-n-i-buharina-i-v-stalinu-s-prilozheniem-zapiski-o-stalinskom-rukovodstve/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8285	1937-09-29T12:02:14	2022-05-08T16:56:32	pismo-n-i-buharina-i-v-stalinu	http://showtrials.ru/pismo-n-i-buharina-i-v-stalinu/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8769	1937-08-26T10:17:32	2022-05-25T12:41:26	dopolnitelnye-pokazaniya-zaklyuchennogo-n-i-buharina	http://showtrials.ru/dopolnitelnye-pokazaniya-zaklyuchennogo-n-i-buharina/	publish	post	standard		130,138	118,136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8783	1937-08-25T15:15:27	2022-05-25T15:20:59	pokazaniya-n-i-buharina-3	http://showtrials.ru/pokazaniya-n-i-buharina-3/	publish	post	standard		130,138	118,136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
10806	1937-08-21T21:07:17	2025-02-27T22:13:02	otvety-p-k-olberga-na-voprosy-ankety	http://showtrials.ru/otvety-p-k-olberga-na-voprosy-ankety/	publish	post	standard		142		_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8151	1937-07-19T13:17:20	2022-03-23T07:37:19	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-i-rykova	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-i-rykova/	publish	post	standard		130	118	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
4803	1937-07-14T13:17:00	2022-05-25T06:57:10	sobstvennoruchnye-pokazaniya-s-m-gessena-o-kontaktah-zinovevczev-i-pravyh-dannye-im-na-sledstvii-v-minske	http://showtrials.ru/sobstvennoruchnye-pokazaniya-s-m-gessena-o-kontaktah-zinovevczev-i-pravyh-dannye-im-na-sledstvii-v-minske/	publish	post	standard		76		_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8148	1937-07-05T18:04:07	2022-03-23T07:37:19	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-n-m-bukalova	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-n-m-bukalova/	publish	post	standard		130	97	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
