person_a	person_b	document_count
Г.Е. Прокофьева	И.Н. Стукова	1
Ежов	И.Н. Стукова	1
Г.Е. Прокофьева	Молотов	1
Г.Е. Прокофьева	Г.П. Вяткина	1
Молотов	Сталин	1
Г.П. Вяткина	Сталин	1
Г.П. Вяткина	Молотов	1
Г.П. Вяткина	Ежов	1
Г.Е. Прокофьева	Ф.А. Горбуновой	1
Ежов	Ф.А. Горбуновой	1
А.П. Загорулько	М.А. Нырчука	1
В.М. Попова	Г.Е. Прокофьева	1
В.М. Попова	Ежов	1
Г.Г. Ягода	Шемелев	1
Сталин	Шемелев	1
Г.Г. Ягода	Л.И. Пономарева	1
Ежов	Л.И. Пономарева	1
Г.Г. Ягода	Ольберг	1
Г.Е. Прокофьева	М.П. Жакова	1
М.П. Жакова	Сталин	1
М.П. Жакова	Молотов	1
Г.Е. Прокофьева	К.И. Гидлевского	1
Ежов	К.И. Гидлевского	1
А.Н. Сафоновой	Г.Е. Прокофьева	1
А.Н. Сафоновой	Сталин	1
Г.Е. Прокофьева	Е.И. Майзлиной	1
Е.И. Майзлиной	Ежов	1
А.Г. Колодина	Ежов	1
Г.Е. Прокофьева	П.А. Коваленко	1
Ежов	П.А. Коваленко	1
Г.Г. Ягода	И.И. Горовича	1
А.Н. Бурова	Ежов	1
Агранов	Е.Ф. Куликова	1
А.Н. Слепкова	Г.А. Молчанова	1
А.Н. Слепкова	Ежов	1
В.В. Осинского	Ежов	1
Агранов	Е.А. Афанасьева	1
Зиновьев	Сокольников	1
В.Е. Цесарского	Ежов	1
Зиновьев	М.П. Томского	1
Ежов	З.Е. Саркисьяна	1
Г.М. Аркуса	Л.М. Каганович	1
А.С. Енукидзе	В.И. Шипихина	1
Агранов	Г.И. Сафарова	1
Ежов	И.А. Мальгина	1
А.С. Енукидзе	Л.З. Мехлиса	1
А.С. Енукидзе	Я.Х. Петерса	1
И.А. Акулову	М.И. Ганштака	1
А.С. Енукидзе	М.И. Ганштака	1
А.С. Енукидзе	И.А. Акулову	1
Г.Г. Ягода	М.С. Голендо	1
Ежов	М.С. Голендо	1
Г.Г. Ягода	Н.В. Комогорова	1
Н.В. Комогорова	Сталин	1
Г.Г. Ягода	С.Г. Радомысльского	1
Зиновьев	С.Г. Радомысльского	1
А.М. Гусева	Ежов	1
Ежов	Р.А. Петерсона	1
Е.Н. Васильева	Ежов	1
М.Ф. Шкирятову	Р.А. Петерсона	1
Д.И. Антипаса	Р.А. Петерсона	1
Д.И. Антипаса	М.Ф. Шкирятову	1
Е.Н. Васильева	М.Ф. Шкирятову	1
В.К. Сотскова	М.Ф. Шкирятову	1
В.В. Осинского	Сталин	1
Агранов	В.М. Рохинсона	1
В.М. Рохинсона	Ежов	1
А.Н. Поскребышеву	А.С. Куклина	1
Агранов	Ю.Д. Урусова	1
Ежов	Ю.Д. Урусова	1
Агранов	Л.А. Воронова	1
Ежов	Л.А. Воронова	1
З.И. Давыдовой	Н.А. Розенфельд	1
Б.Н. Розенфельда	Е.К. Мухановой	1
Агранов	Б.Н. Розенфельда	1
Б.Н. Розенфельда	Ежов	1
Н.Н. Мищенко	П.Ф. Поляковым	1
А.А. Гардин-Гейер	Агранов	1
А.А. Гардин-Гейер	Ежов	1
Е.К. Мухановой	З.И. Давыдовой	1
З.И. Давыдовой	Н.И. Бураго	1
Агранов	Н.И. Бураго	1
Ежов	Н.И. Бураго	1
Агранов	Г.Б. Синани-Скалов	1
В.Я. Головский-Голощапов	К.К. Мухановым	1
Агранов	Ф.Г. Иванова	1
Ежов	Ф.Г. Иванова	1
А.В. Бочарова	Агранов	1
А.В. Бочарова	Ежов	1
Г.Б. Либермана	Г.Г. Ягода	1
Г.Б. Либермана	Ежов	1
Д.И. Антипаса	Ежов	1
М.Ф. Шкирятову	С.П. Терихова	1
Г.Б. Синани-Скалов	Г.Г. Ягода	1
Г.Г. Ягода	Н.Б. Скаловой	1
Ежов	Н.Б. Скаловой	1
Г.Г. Ягода	Н.Б. Розенфельда	1
Е.Д. Соколовой	М.Ф. Шкирятову	1
В.Д. Вуйовичем	Г.Г. Ягода	1
В.Д. Вуйовичем	Ежов	1
В.Д. Вуйовичем	Зиновьев	1
Г.Г. Ягода	М.М. Михайлова	1
Ежов	М.М. Михайлова	1
Ежов	М.Ф. Шкирятову	1
Б.А. Васильева	М.Б. Черномордику	1
Б.А. Васильева	Г.Б. Синани-Скалов	1
