entity_a	entity_b	document_count
В.М. Попова	Г.Е. Прокофьева	1
В.М. Попова	Ежов	1
Г.Г. Ягоды	Шемелев	1
Сталин	Шемелев	1
Г.Г. Ягоды	Л.И. Пономарева	1
Ежов	Л.И. Пономарева	1
Г.Г. Ягоды	Ольберг	1
Г.Е. Прокофьева	М.П. Жакова	1
М.П. Жакова	Сталин	1
М.П. Жакова	Молотов	1
Молотов	аресте	1
М.П. Жакова	аресте	1
Г.Е. Прокофьева	К.И. Гидлевского	1
Ежов	К.И. Гидлевского	1
А.Н. Сафоновой	Г.Е. Прокофьева	1
А.Н. Сафоновой	Сталин	1
Г.Е. Прокофьева	Е.И. Майзлиной	1
Е.И. Майзлиной	Ежов	1
А.Г. Колодина	Ежов	1
Г.Е. Прокофьева	П.А. Коваленко	1
Ежов	П.А. Коваленко	1
Г.Г. Ягоды	И.И. Горовича	1
Г.Е. Прокофьева	архива	1
Сталин	архива	1
А.Н. Бурова	Ежов	1
А.Н. Бурова	секретаря	1
А.Н. Бурова	крайкома	1
А.Н. Бурова	раскрытии	1
Ежов	секретаря	1
Ежов	крайкома	1
крайкома	секретаря	1
раскрытии	секретаря	1
крайкома	раскрытии	1
Агранов	Е.Ф. Куликова	1
А.Н. Слепкова	Г.А. Молчанова	1
А.Н. Слепкова	Ежов	1
А.Я. Свердлова	восстановлении	1
А.Я. Свердлова	рядах	1
В.В. Осинского	Ежов	1
В.В. Осинского	восстановлении	1
В.В. Осинского	рядах	1
Агранов	Е.А. Афанасьева	1
В.А. Ваганяна	Политбюро	1
Зиновьев	Сокольников	1
Политбюро	Сокольников	1
Сокольников	показаниях	1
Политбюро	Сталин	1
Зиновьев	показаниях	1
Политбюро	показаниях	1
В.Е. Цесарского	Ежов	1
Зиновьев	М.П. Томского	1
М.П. Томского	Политбюро	1
М.П. Томского	литературной	1
Зиновьев	литературной	1
Политбюро	литературной	1
Ежов	З.Е. Саркисьяна	1
З.Е. Саркисьяна	начальника	1
З.Е. Саркисьяна	горотдела	1
Ежов	начальника	1
Ежов	горотдела	1
горотдела	начальника	1
Г.М. Аркуса	Л.М. Кагановичу	1
Агранов	письма	1
А.С. Енукидзе	В.И. Шипихина	1
В.И. Шипихина	связи	1
А.С. Енукидзе	связи	1
Агранов	Г.И. Сафарова	1
Ежов	И.А. Мальгина	1
И.А. Мальгина	его	1
А.С. Енукидзе	Л.З. Мехлису	1
Л.З. Мехлису	постоянного	1
А.С. Енукидзе	постоянного	1
А.С. Енукидзе	Я.Х. Петерса	1
А.С. Енукидзе	Кекс	1
А.С. Енукидзе	машиностроительного	1
Кекс	Я.Х. Петерса	1
Я.Х. Петерса	машиностроительного	1
Кекс	машиностроительного	1
И.А. Акулову	М.И. Ганштака	1
А.С. Енукидзе	М.И. Ганштака	1
М.И. Ганштака	заместителя	1
А.С. Енукидзе	И.А. Акулову	1
И.А. Акулову	заместителя	1
А.С. Енукидзе	заместителя	1
Г.Г. Ягоды	М.С. Голендо	1
Ежов	М.С. Голендо	1
Г.Г. Ягоды	Н.В. Комогорова	1
Н.В. Комогорова	Сталин	1
Г.Г. Ягоды	С.Г. Радомысльского	1
Зиновьев	С.Г. Радомысльского	1
А.М. Гусева	Ежов	1
А.М. Гусева	КПК	1
А.С. Енукидзе	связях	1
А.И. Кармалитова	его	1
заседания	отчета	1
