person	organization	document_count	person_total_documents	share_of_person_documents
М.М. Киллерога	ВКП(б)	6	6	1.0
М.М. Киллерога	ГУГБ	6	6	1.0
М.М. Харитонова	ЦК ВКП(б)	6	11	0.5455
М.Н. Яковлева	ВКП(б)	6	9	0.6667
М.Ф. Шкирятову	ЦК ВКП(б)	6	8	0.75
Н.В. Голубенко	ГУГБ	6	11	0.5455
Н.В. Голубенко	НКВД	6	11	0.5455
Н.И. Бураго	ГУГБ	6	6	1.0
Ольберг	ЦК ВКП(б)	6	94	0.0638
Пятаков	Правда	6	22	0.2727
Радек	Коминтерн	6	25	0.24
Радек	НКВД	6	25	0.24
Рыков	Известия	6	18	0.3333
С.В. Мрачковский	ГУГБ	6	8	0.75
Смирнов	ЦК ВКП(б)	6	10	0.6
А.А. Шестова	ВКП(б)	5	5	1.0
А.А. Шестова	ГУГБ	5	5	1.0
А.П. Костиной	ГУГБ	5	5	1.0
А.С. Енукидзе	НКВД	5	8	0.625
А.С. Енукидзе	Правда	5	8	0.625
А.Ю. Тивеля	ВКП(б)	5	5	1.0
А.Ю. Тивеля	ГУГБ	5	5	1.0
А.Ю. Тивеля	ЦК ВКП(б)	5	5	1.0
А.Я. Вышинский	НКВД	5	10	0.5
Б.Н. Розенфельда	ГУГБ	5	5	1.0
Б.Н. Сахова	ВКП(б)	5	9	0.5556
Б.Н. Сахова	ЦК ВКП(б)	5	9	0.5556
В.А. Яковлева	ВКП(б)	5	5	1.0
В.А. Яковлева	ГУГБ	5	5	1.0
В.А. Яковлева	ЦК ВКП(б)	5	5	1.0
В.В. Кузьмина	Коминтерн	5	7	0.7143
В.И. Козырева	ВКП(б)	5	5	1.0
В.И. Козырева	ГУГБ	5	5	1.0
В.Ф. Логинова	ГУГБ	5	7	0.7143
В.Ф. Логинова	НКВД	5	7	0.7143
В.Я. Головский-Голощапов	ГУГБ	5	5	1.0
Г.Е. Евдокимова	Коминтерн	5	14	0.3571
Д.А. Шмидта	ВКП(б)	5	6	0.8333
Д.А. Шмидта	ГУГБ	5	6	0.8333
Д.А. Шмидта	НКВД	5	6	0.8333
Е.В. Цетлина	Совнарком	5	20	0.25
Е.Ф. Куликова	КПК	5	6	0.8333
Ежов	ИНО ГУГБ	5	466	0.0107
З.И. Давыдовой	ГУГБ	5	6	0.8333
Зиновьев	ИККИ	5	50	0.1
И.И. Котолынова	ВКП(б)	5	13	0.3846
И.М. Гуревича	ГУГБ	5	6	0.8333
И.П. Бакаева	Правда	5	13	0.3846
И.С. Горшенина	Коминтерн	5	12	0.4167
И.С. Горшенина	Политбюро	5	12	0.4167
И.С. Горшениным	ГУГБ	5	5	1.0
Каменев	Коминтерн	5	26	0.1923
Каменев	Политбюро	5	26	0.1923
Л.З. Мехлиса	ВКП(б)	5	6	0.8333
Л.З. Мехлиса	ЦК ВКП(б)	5	6	0.8333
Л.Ф. Дитятевой	ВКП(б)	5	5	1.0
М.Ф. Шкирятову	ЦИК СССР	5	8	0.625
Молотов	ВКП(б)	5	6	0.8333
Н.А. Розенфельд	ЦК ВКП(б)	5	16	0.3125
Н.А. Угланова	ВКП(б)	5	6	0.8333
Н.Б. Розенфельда	ГУГБ	5	5	1.0
Н.В. Голубенко	ЦК ВКП(б)	5	11	0.4545
П.А. Коваленко	ВКП(б)	5	5	1.0
П.А. Коваленко	ГУГБ	5	5	1.0
Пятаков	Известия	5	22	0.2273
Радек	Политбюро	5	25	0.2
Сталин	Прокуратура СССР	5	520	0.0096
Т.И. Глебовой	Правда	5	9	0.5556
Шемелев	ВКП(б)	5	5	1.0
Шемелев	ГУГБ	5	5	1.0
Я.В. Шарова	ГУГБ	5	5	1.0
Я.В. Шарова	НКВД	5	5	1.0
А.А. Мусатова	ВКП(б)	4	4	1.0
