person	organization	document_count	person_total_documents	share_of_person_documents
П.А. Залуцкого	НКВД	2	3	0.6667
П.А. Липшица	ВКП(б)	2	2	1.0
П.А. Липшица	Коминтерн	2	2	1.0
П.А. Липшица	НКВД	2	2	1.0
П.Г. Петровского	ВКП(б)	2	2	1.0
П.Г. Петровского	Политбюро	2	2	1.0
П.Г. Петровского	Правда	2	2	1.0
П.Г. Петровского	ЦК ВКП(б)	2	2	1.0
П.К. Александрова	ВКП(б)	2	2	1.0
П.М. Репникова	ГУГБ	2	2	1.0
П.Н. Нечаева	ВКП(б)	2	2	1.0
П.Н. Нечаева	ГУГБ	2	2	1.0
П.Н. Нечаева	НКВД	2	2	1.0
П.П. Бурмистрова	ГУГБ	2	2	1.0
П.Ф. Полякова	ВКП(б)	2	2	1.0
П.Ф. Полякова	ГУГБ	2	2	1.0
П.Ф. Сапожникова	ГУГБ	2	3	0.6667
П.Ф. Сапожникова	Политбюро	2	3	0.6667
П.Ф. Сапожникова	Правда	2	3	0.6667
П.Ф. Сапожникова	ЦК ВКП(б)	2	3	0.6667
Пригожин	ВКП(б)	2	2	1.0
Пригожин	ГУГБ	2	2	1.0
Пригожин	Известия	2	2	1.0
Пригожин	Коминтерн	2	2	1.0
Пригожин	НКВД	2	2	1.0
Пригожин	ЦК ВКП(б)	2	2	1.0
Пятаков	Коминтерн	2	22	0.0909
Пятаков	Совнарком	2	22	0.0909
Р.А. Петерсона	ВКП(б)	2	2	1.0
Р.А. Петерсона	ЦК ВКП(б)	2	2	1.0
Р.В. Пикеля	ГУГБ	2	4	0.5
Р.В. Пикеля	НКВД	2	4	0.5
Р.С. Беннет	ВКП(б)	2	2	1.0
Р.С. Беннет	ГУГБ	2	2	1.0
Р.С. Беннет	НКВД	2	2	1.0
Р.С. Беннет	Политбюро	2	2	1.0
Р.С. Беннет	ЦК ВКП(б)	2	2	1.0
Радек	НКИД	2	25	0.08
Радин	ВКП(б)	2	2	1.0
Радин	Совнарком	2	2	1.0
Радин	ЦК ВКП(б)	2	2	1.0
Рыков	Коминтерн	2	18	0.1111
С.А. Гоглидзе	ГУГБ	2	2	1.0
С.А. Гоглидзе	НКВД	2	2	1.0
С.А. Ратайчаком	ВКП(б)	2	2	1.0
С.А. Ратайчаком	ГУГБ	2	2	1.0
С.А. Ратайчаком	ЦК ВКП(б)	2	2	1.0
С.А. Чихладзе	ВКП(б)	2	6	0.3333
С.А. Чихладзе	Совнарком	2	6	0.3333
С.В. Мрачковский	Политбюро	2	8	0.25
С.В. Мрачковский	Правда	2	8	0.25
С.Г. Радомысльского	ВКП(б)	2	2	1.0
С.Г. Радомысльского	ЦК ВКП(б)	2	2	1.0
С.М. Гессена	ГУГБ	2	8	0.25
С.М. Гессена	Коминтерн	2	8	0.25
С.М. Гессена	НКВД	2	8	0.25
С.М. Гессена	ЦК ВКП(б)	2	8	0.25
С.М. Закс-Гладнев	Коминтерн	2	2	1.0
С.П. Калашникова	ГУГБ	2	2	1.0
С.П. Минаева	ГУГБ	2	2	1.0
С.П. Минаева	НКВД	2	2	1.0
С.С. Зорина	ВКП(б)	2	2	1.0
С.С. Зорина	ЦК ВКП(б)	2	2	1.0
С.Я. Бабахана	ВКП(б)	2	2	1.0
С.Я. Бабахана	ГУГБ	2	2	1.0
С.Я. Бабахана	ЦК ВКП(б)	2	2	1.0
С.Я. Шаева	ВКП(б)	2	3	0.6667
С.Я. Шаева	ЦК ВКП(б)	2	3	0.6667
Сокольников	НКИД	2	18	0.1111
Сталин	Горьковский крайком ВКП(б)	2	520	0.0038
Сталин	Лига Наций	2	520	0.0038
Т.Г. Гатаулина	ГУГБ	2	2	1.0
Т.И. Глебовой	ГУГБ	2	9	0.2222
Т.И. Глебовой	Политбюро	2	9	0.2222
Т.П. Денисовой	ГУГБ	2	2	1.0
Т.П. Денисовой	НКВД	2	2	1.0
Т.Р. Левиной	ВКП(б)	2	2	1.0
Ф.Г. Иванова	ВКП(б)	2	2	1.0
Ф.Г. Иванова	ГУГБ	2	2	1.0
Ф.Г. Иванова	НКВД	2	2	1.0
Ф.Ф. Фадеева	ВКП(б)	2	7	0.2857
Х.Г. Гуревича	ЦК ВКП(б)	2	3	0.6667
Х.Г. Раковского	ВКП(б)	2	3	0.6667
Х.Г. Раковского	ЦК ВКП(б)	2	3	0.6667
Членов	Правда	2	14	0.1429
Ю.М. Бочарова	ВКП(б)	2	2	1.0
Ю.М. Бочарова	ГУГБ	2	2	1.0
Ю.М. Коцюбинского	НКВД	2	3	0.6667
Я.А. Лившица	ГУГБ	2	4	0.5
Я.А. Лившица	НКВД	2	4	0.5
Я.А. Лившица	Политбюро	2	4	0.5
Я.А. Фуртичева	ВКП(б)	2	2	1.0
Я.А. Фуртичева	ГУГБ	2	2	1.0
Я.А. Фуртичева	Коминтерн	2	2	1.0
Я.Д. Лейбмана	ГУГБ	2	2	1.0
Я.Н. Вечерковского	ВКП(б)	2	3	0.6667
Я.Н. Дробниса	НКВД	2	3	0.6667
Я.Н. Дробниса	ЦК ВКП(б)	2	3	0.6667
Я.Р. Ельковича	ГУГБ	2	6	0.3333
Я.Р. Ельковича	НКВД	2	6	0.3333
Я.Р. Ельковича	ЦК ВКП(б)	2	6	0.3333
Я.С. Розановым	ГУГБ	2	2	1.0
Я.Я. Упмал-Ангарский	ВКП(б)	2	2	1.0
Я.Я. Упмал-Ангарский	ГУГБ	2	2	1.0
Я.Я. Упмал-Ангарский	Коминтерн	2	2	1.0
А.А. Абрамова	ВКП(б)	1	1	1.0
А.А. Абрамова	Правда	1	1	1.0
А.А. Андрееву	Правда	1	3	0.3333
А.А. Бусыгина	ЦК ВКП(б)	1	2	0.5
А.А. Гардин-Гейер	ВКП(б)	1	1	1.0
А.А. Гардин-Гейер	ГУГБ	1	1	1.0
А.А. Гардин-Гейер	Коминтерн	1	1	1.0
А.А. Гардин-Гейер	ЦК ВКП(б)	1	1	1.0
А.А. Жданову	ВКП(б)	1	1	1.0
А.А. Жданову	Известия	1	1	1.0
А.А. Жданову	НКВД	1	1	1.0
А.А. Израилитина	ВКП(б)	1	1	1.0
А.А. Израилитина	ГУГБ	1	1	1.0
А.А. Карпова	ВКП(б)	1	1	1.0
А.А. Карпова	ГУГБ	1	1	1.0
А.А. Карпова	НКВД	1	1	1.0
А.А. Карпова	ЦК ВКП(б)	1	1	1.0
А.А. Лаврентьева	НКВД	1	2	0.5
А.А. Мусатова	Горьковский крайком ВКП(б)	1	4	0.25
А.А. Мусатова	Коминтерн	1	4	0.25
А.А. Мусатова	Правда	1	4	0.25
А.А. Мусатова	ЦК ВКП(б)	1	4	0.25
А.А. Муштакова	НКВД	1	2	0.5
А.А. Нелидовой	ВКП(б)	1	1	1.0
А.А. Нелидовой	ГУГБ	1	1	1.0
А.А. Нелидовой	НКВД	1	1	1.0
А.А. Табанакова	ВКП(б)	1	1	1.0
А.А. Табанакова	ГУГБ	1	1	1.0
А.А. Табанакова	НКВД	1	1	1.0
А.А. Табанакова	Политбюро	1	1	1.0
А.А. Табанакова	ЦК ВКП(б)	1	1	1.0
А.А. Хвыли	ВКП(б)	1	2	0.5
А.А. Хвыли	Коминтерн	1	2	0.5
А.А. Хвыли	НКВД	1	2	0.5
А.А. Хвыли	ЦИК СССР	1	2	0.5
А.А. Хвыли	ЦК ВКП(б)	1	2	0.5
А.В. Бочарова	ВКП(б)	1	1	1.0
А.В. Бочарова	ГУГБ	1	1	1.0
А.В. Бочарова	Политбюро	1	1	1.0
А.В. Бочарова	Правда	1	1	1.0
А.В. Бочарова	ЦК ВКП(б)	1	1	1.0
А.В. Галкина	ГУГБ	1	2	0.5
А.В. Галкина	ИНО ГУГБ	1	2	0.5
А.В. Галкина	НКВД	1	2	0.5
А.В. Галкина	Политбюро	1	2	0.5
А.В. Галкина	Совнарком	1	2	0.5
А.В. Герцберга	ВКП(б)	1	4	0.25
А.В. Герцберга	НКВД	1	4	0.25
А.В. Дзедзиевского	ВКП(б)	1	1	1.0
А.В. Дзедзиевского	ГУГБ	1	1	1.0
А.В. Дзедзиевского	Правда	1	1	1.0
А.В. Дзедзиевского	ЦК ВКП(б)	1	1	1.0
А.В. Луговой-Левенштейн	ГУГБ	1	2	0.5
А.В. Луговой-Левенштейн	Известия	1	2	0.5
А.В. Луговой-Левенштейн	Политбюро	1	2	0.5
А.В. Луговой-Левенштейн	ЦК ВКП(б)	1	2	0.5
А.В. Перимова	ВКП(б)	1	5	0.2
А.В. Перимова	ГУГБ	1	5	0.2
А.В. Перимова	Коминтерн	1	5	0.2
А.В. Перимовым	ВКП(б)	1	1	1.0
А.В. Перимовым	ГУГБ	1	1	1.0
А.В. Перимовым	НКВД	1	1	1.0
А.В. Перимовым	ЦК ВКП(б)	1	1	1.0
А.В. Румянцева	ГУГБ	1	2	0.5
А.В. Румянцева	НКВД	1	2	0.5
А.В. Румянцева	Политбюро	1	2	0.5
А.В. Румянцева	ЦК ВКП(б)	1	2	0.5
А.В. Травиной	ВКП(б)	1	1	1.0
А.В. Травиной	Известия	1	1	1.0
А.В. Травиной	НКВД	1	1	1.0
А.В. Травиной	Правда	1	1	1.0
А.В. Травиной	Совнарком	1	1	1.0
А.В. Травиной	ЦК ВКП(б)	1	1	1.0
А.Г. Егорова	ГУГБ	1	1	1.0
А.Г. Егорова	НКВД	1	1	1.0
А.Г. Колодина	КПК	1	4	0.25
А.Г. Колодина	КПК при ЦК ВКП(б)	1	4	0.25
А.Г. Колодина	Коминтерн	1	4	0.25
А.Г. Корчагиной	ГУГБ	1	1	1.0
А.Г. Корчагиной	ЦИК СССР	1	1	1.0
А.Г. Шляпникова	ВКП(б)	1	1	1.0
А.Г. Шляпникова	Правда	1	1	1.0
А.Г. Шляпникова	ЦК ВКП(б)	1	1	1.0
А.Д. Арефьева	ГУГБ	1	2	0.5
А.Д. Арефьева	ЦК ВКП(б)	1	2	0.5
А.Д. Арефьевым	ВКП(б)	1	1	1.0
А.Д. Бронштейне	ВКП(б)	1	1	1.0
А.Д. Бронштейне	Правда	1	1	1.0
А.Д. Бронштейне	Прокуратура СССР	1	1	1.0
А.Д. Бронштейне	ЦК ВКП(б)	1	1	1.0
А.Д. Зайцева	ИККИ	1	2	0.5
А.Д. Зайцева	Коминтерн	1	2	0.5
А.Д. Зайцева	НКВД	1	2	0.5
А.Д. Зайцева	Политбюро	1	2	0.5
А.Д. Зайцева	Совнарком	1	2	0.5
А.Е. Авдеевой	ВКП(б)	1	3	0.3333
А.Е. Авдеевой	НКВД	1	3	0.3333
А.Е. Кожуро	ГУГБ	1	3	0.3333
А.Е. Кожуро	Коминтерн	1	3	0.3333
А.Е. Кожуро	НКВД	1	3	0.3333
А.Е. Кожуро	Правда	1	3	0.3333
А.З. Волкова	ВКП(б)	1	1	1.0
А.З. Волкова	ГУГБ	1	1	1.0
А.З. Волкова	НКВД	1	1	1.0
А.И. Александрова	ВКП(б)	1	4	0.25
А.И. Александрова	Правда	1	4	0.25
А.И. Анишева	Известия	1	12	0.0833
А.И. Анишева	НКВД	1	12	0.0833
А.И. Анишева	Правда	1	12	0.0833
А.И. Анишева	ЦИК СССР	1	12	0.0833
А.И. Анишева	ЦК ВКП(б)	1	12	0.0833
А.И. Анишевым	ГУГБ	1	1	1.0
А.И. Биркенгофа	ИНО ГУГБ	1	3	0.3333
А.И. Биркенгофа	Правда	1	3	0.3333
А.И. Бриггиса	ВКП(б)	1	1	1.0
А.И. Бриггиса	ГУГБ	1	1	1.0
А.И. Бриггиса	НКВД	1	1	1.0
А.И. Бриггиса	ЦК ВКП(б)	1	1	1.0
А.И. Витковского	ВКП(б)	1	1	1.0
А.И. Витковского	ГУГБ	1	1	1.0
А.И. Витковского	ЦК ВКП(б)	1	1	1.0
А.И. Гальперина	ВКП(б)	1	1	1.0
А.И. Гальперина	ГУГБ	1	1	1.0
А.И. Гальперина	НКВД	1	1	1.0
А.И. Гальперина	Политбюро	1	1	1.0
А.И. Гальперина	Правда	1	1	1.0
А.И. Гальперина	ЦК ВКП(б)	1	1	1.0
А.И. Емшанова	ВКП(б)	1	1	1.0
А.И. Емшанова	ГУГБ	1	1	1.0
А.И. Емшанова	НКВД	1	1	1.0
А.И. Емшанова	ЦК ВКП(б)	1	1	1.0
А.И. Зильбермана	ВКП(б)	1	1	1.0
А.И. Зильбермана	Политбюро	1	1	1.0
А.И. Зильбермана	Правда	1	1	1.0
А.И. Кармалитова	НКВД	1	3	0.3333
А.И. Кармалитова	Политбюро	1	3	0.3333
А.И. Коновой	Политбюро	1	3	0.3333
А.И. Коновой	Совнарком	1	3	0.3333
А.И. Коновой	ЦК ВКП(б)	1	3	0.3333
А.И. Муралова	ВКП(б)	1	1	1.0
А.И. Муралова	Правда	1	1	1.0
А.И. Муралова	Совнарком	1	1	1.0
А.И. Муралова	ЦК ВКП(б)	1	1	1.0
А.И. Мячиной	ГУГБ	1	1	1.0
А.И. Никитинской	ВКП(б)	1	1	1.0
А.И. Никитинской	ГУГБ	1	1	1.0
А.И. Никитинской	ЦИК СССР	1	1	1.0
А.И. Синелобова	Политбюро	1	3	0.3333
А.И. Синелобова	Правда	1	3	0.3333
А.И. Синелобова	ЦК ВКП(б)	1	3	0.3333
А.И. Стецкого	Известия	1	2	0.5
А.И. Стецкого	Политбюро	1	2	0.5
А.И. Стецкого	Правда	1	2	0.5
А.И. Толмазова	Коминтерн	1	8	0.125
А.И. Толмазова	Политбюро	1	8	0.125
А.И. Толмазовым	ГУГБ	1	1	1.0
А.И. Толмазовым	НКВД	1	1	1.0
А.И. Уварова	ВКП(б)	1	1	1.0
А.И. Уварова	ГУГБ	1	1	1.0
А.И. Уварова	НКВД	1	1	1.0
А.И. Уварова	ЦК ВКП(б)	1	1	1.0
А.И. Юлина	НКВД	1	2	0.5
А.И. Юлина	Политбюро	1	2	0.5
А.И. Юлина	Правда	1	2	0.5
А.К. Бормана	ВКП(б)	1	1	1.0
А.К. Бормана	ГУГБ	1	1	1.0
А.К. Дрожжина	ВКП(б)	1	1	1.0
А.К. Дрожжина	ГУГБ	1	1	1.0
А.К. Дрожжина	НКВД	1	1	1.0
А.К. Дрожжина	ЦК ВКП(б)	1	1	1.0
А.К. Середохина	Коминтерн	1	3	0.3333
А.К. Середохина	НКВД	1	3	0.3333
А.К. Язовских	ВКП(б)	1	1	1.0
А.К. Язовских	ГУГБ	1	1	1.0
А.К. Язовских	ЦК ВКП(б)	1	1	1.0
А.Л. Голоступеца	ГУГБ	1	1	1.0
А.Л. Голоступеца	Секретариат ЦИК СССР	1	1	1.0
А.Л. Голоступеца	ЦИК СССР	1	1	1.0
А.Л. Леонтьева	ВКП(б)	1	1	1.0
А.Л. Леонтьева	ГУГБ	1	1	1.0
А.Л. Леонтьева	Горьковский крайком ВКП(б)	1	1	1.0
А.Л. Леонтьева	КПК	1	1	1.0
А.Л. Леонтьева	КПК при ЦК ВКП(б)	1	1	1.0
А.Л. Леонтьева	НКВД	1	1	1.0
А.Л. Леонтьева	Правда	1	1	1.0
А.Л. Леонтьева	ЦК ВКП(б)	1	1	1.0
А.М. Аркус	ВКП(б)	1	1	1.0
А.М. Аркус	ЦК ВКП(б)	1	1	1.0
А.М. Березина	ВКП(б)	1	1	1.0
А.М. Гертика	ИНО ГУГБ	1	11	0.0909
А.М. Гертика	Коминтерн	1	11	0.0909
А.М. Гертика	Политбюро	1	11	0.0909
А.М. Горькому	Правда	1	2	0.5
А.М. Гусева	КПК	1	2	0.5
А.М. Гусева	КПК при ЦК ВКП(б)	1	2	0.5
А.М. Гусева	Совнарком	1	2	0.5
А.М. Гусева	ЦК ВКП(б)	1	2	0.5
А.М. Зорина	Политбюро	1	2	0.5
А.М. Зорина	Совнарком	1	2	0.5
А.М. Кашкина	ВКП(б)	1	1	1.0
А.М. Кашкина	ГУГБ	1	1	1.0
А.М. Кашкина	НКВД	1	1	1.0
А.М. Кашкина	Политбюро	1	1	1.0
А.М. Кашкина	ЦК ВКП(б)	1	1	1.0
А.М. Лариной	Известия	1	3	0.3333
А.М. Луцука	ВКП(б)	1	1	1.0
А.М. Луцука	ГУГБ	1	1	1.0
А.М. Луцука	ЦК ВКП(б)	1	1	1.0
А.М. Попова	ВКП(б)	1	1	1.0
А.М. Попова	ГУГБ	1	1	1.0
А.М. Попова	НКВД	1	1	1.0
А.М. Сосипатрова	ВКП(б)	1	1	1.0
А.М. Сосипатрова	ГУГБ	1	1	1.0
А.М. Сосипатрова	ИНО ГУГБ	1	1	1.0
А.М. Сосипатрова	Правда	1	1	1.0
А.М. Сосипатрова	ЦК ВКП(б)	1	1	1.0
А.М. Штейна	ВКП(б)	1	2	0.5
А.М. Штейна	НКВД	1	2	0.5
А.М. Штейна	ЦК ВКП(б)	1	2	0.5
А.М. Ясюкевича	ВКП(б)	1	1	1.0
А.М. Ясюкевича	Правда	1	1	1.0
А.Н. Барулина	ВКП(б)	1	1	1.0
А.Н. Барулина	КПК	1	1	1.0
А.Н. Барулина	НКВД	1	1	1.0
А.Н. Барулина	ЦК ВКП(б)	1	1	1.0
А.Н. Бурова	ВКП(б)	1	1	1.0
А.Н. Бурова	Горьковский крайком ВКП(б)	1	1	1.0
А.Н. Бурова	НКВД	1	1	1.0
А.Н. Бурова	ЦК ВКП(б)	1	1	1.0
А.Н. Панова	ВКП(б)	1	1	1.0
А.Н. Сафоновой	ЦК ВКП(б)	1	5	0.2
А.Н. Слепкова	ИККИ	1	5	0.2
А.Н. Слепкова	КПК	1	5	0.2
А.Н. Слепкова	Коминтерн	1	5	0.2
А.Н. Слепкова	НКВД	1	5	0.2
А.Н. Слепкова	Политбюро	1	5	0.2
А.Н. Слепковым	ВКП(б)	1	1	1.0
А.Н. Фокина	ВКП(б)	1	1	1.0
А.Н. Фокина	ГУГБ	1	1	1.0
А.О. Альского	ВКП(б)	1	1	1.0
А.О. Альского	ГУГБ	1	1	1.0
А.О. Альского	Коминтерн	1	1	1.0
А.О. Альского	НКВД	1	1	1.0
А.О. Альского	Политбюро	1	1	1.0
А.О. Альского	Правда	1	1	1.0
А.О. Альского	ЦК ВКП(б)	1	1	1.0
А.О. Голлендера	ВКП(б)	1	1	1.0
А.О. Голлендера	ГУГБ	1	1	1.0
А.О. Голлендера	Коминтерн	1	1	1.0
А.О. Голлендера	НКВД	1	1	1.0
А.П. Дьячкова	ГУГБ	1	1	1.0
А.П. Загорулько	ВКП(б)	1	2	0.5
А.П. Костиной	Коминтерн	1	5	0.2
А.П. Метальникова	ВКП(б)	1	1	1.0
А.П. Метальникова	ГУГБ	1	1	1.0
А.П. Метальникова	НКВД	1	1	1.0
А.П. Метальникова	ЦК ВКП(б)	1	1	1.0
А.П. Удалова	ГУГБ	1	1	1.0
А.П. Удалова	НКВД	1	1	1.0
А.П. Удалова	ОО ГУГБ НКВД	1	1	1.0
А.С. Булину	ВКП(б)	1	1	1.0
А.С. Булину	КПК	1	1	1.0
А.С. Булину	НКВД	1	1	1.0
А.С. Булину	ЦК ВКП(б)	1	1	1.0
А.С. Енукидзе	Коминтерн	1	8	0.125
А.С. Енукидзе	Политбюро	1	8	0.125
А.С. Куклина	Политбюро	1	7	0.1429
А.С. Куклина	ЦК ВКП(б)	1	7	0.1429
А.С. Куклиным	Совнарком	1	2	0.5
А.С. Оввян	ВКП(б)	1	1	1.0
А.С. Оввян	ГУГБ	1	1	1.0
А.С. Соколова	Горьковский крайком ВКП(б)	1	2	0.5
А.С. Соколова	Политбюро	1	2	0.5
А.С. Соколова	Правда	1	2	0.5
А.С. Соколова	ЦК ВКП(б)	1	2	0.5
А.Ф. Кошелева	ВКП(б)	1	1	1.0
А.Ф. Кошелева	ГУГБ	1	1	1.0
А.Ф. Кошелева	НКВД	1	1	1.0
А.Ф. Ульянова	ВКП(б)	1	1	1.0
А.Ф. Ульянова	ГУГБ	1	1	1.0
А.Ф. Ульянова	НКВД	1	1	1.0
А.Ф. Ульянова	НКИД	1	1	1.0
А.Ф. Ульянова	ЦК ВКП(б)	1	1	1.0
А.Х. Кантора	ИНО ГУГБ	1	3	0.3333
А.Ю. Айхенвальда	ИККИ	1	5	0.2
А.Ю. Тивеля	Известия	1	5	0.2
А.Ю. Тивеля	ОО ГУГБ НКВД	1	5	0.2
А.Я. Аросеве	ВКП(б)	1	1	1.0
А.Я. Аросеве	НКВД	1	1	1.0
А.Я. Аросеве	ЦК ВКП(б)	1	1	1.0
А.Я. Вышинский	КПК	1	10	0.1
А.Я. Вышинский	Политбюро	1	10	0.1
А.Я. Вышинский	Прокуратура СССР	1	10	0.1
А.Я. Свердлова	ГУГБ	1	3	0.3333
А.Я. Свердлова	КПК	1	3	0.3333
А.Я. Свердлова	КПК при ЦК ВКП(б)	1	3	0.3333
А.Я. Свердлова	ЦК ВКП(б)	1	3	0.3333
А.Я. Юскиной	ГУГБ	1	1	1.0
А.Я. Юскиной	НКВД	1	1	1.0
Агранов	КПК при ЦК ВКП(б)	1	74	0.0135
Агранов	Секретариат ЦИК СССР	1	74	0.0135
Астров	ИККИ	1	8	0.125
Астров	Известия	1	8	0.125
Б.А. Васильева	ИККИ	1	1	1.0
Б.А. Васильева	Коминтерн	1	1	1.0
Б.А. Двинскому	ВКП(б)	1	1	1.0
Б.А. Двинскому	Правда	1	1	1.0
Б.А. Двинскому	ЦК ВКП(б)	1	1	1.0
Б.А. Кушнера	КПК	1	4	0.25
Б.А. Кушнера	Коминтерн	1	4	0.25
Б.А. Кушнера	ОО ГУГБ НКВД	1	4	0.25
Б.А. Кушнера	Политбюро	1	4	0.25
Б.А. Кушнера	Правда	1	4	0.25
Б.Г. Козелева	Коминтерн	1	3	0.3333
Б.Г. Козелева	НКВД	1	3	0.3333
Б.Г. Мдивани	ВКП(б)	1	1	1.0
Б.Г. Мдивани	ГУГБ	1	1	1.0
Б.Г. Мдивани	ЦК ВКП(б)	1	1	1.0
Б.Д. Берману	ВКП(б)	1	1	1.0
Б.Д. Берману	ГУГБ	1	1	1.0
Б.Д. Берману	НКВД	1	1	1.0
Б.Д. Берману	ЦК ВКП(б)	1	1	1.0
Б.Е. Алдаданова	ВКП(б)	1	1	1.0
Б.Е. Алдаданова	ГУГБ	1	1	1.0
Б.Е. Алдаданова	НКВД	1	1	1.0
Б.Е. Алдаданова	Политбюро	1	1	1.0
Б.Е. Алдаданова	ЦК ВКП(б)	1	1	1.0
Б.Е. Барского	ВКП(б)	1	1	1.0
Б.Е. Барского	ГУГБ	1	1	1.0
Б.Е. Барского	НКВД	1	1	1.0
Б.Е. Барского	Правда	1	1	1.0
Б.Е. Барского	ЦК ВКП(б)	1	1	1.0
Б.З. Ливянта	ВКП(б)	1	1	1.0
Б.З. Ливянта	ГУГБ	1	1	1.0
Б.З. Ливянта	Коминтерн	1	1	1.0
Б.З. Ливянта	ЦК ВКП(б)	1	1	1.0
Б.И. Лехтмана	НКВД	1	2	0.5
Б.Л. Браво	Коминтерн	1	9	0.1111
Б.Л. Браво	НКИД	1	9	0.1111
Б.Л. Браво	ЦК ВКП(б)	1	9	0.1111
Б.Л. Колесникова	ВКП(б)	1	1	1.0
Б.Л. Колесникова	ГУГБ	1	1	1.0
Б.Л. Колесникова	НКВД	1	1	1.0
Б.Л. Колесникова	Правда	1	1	1.0
Б.Л. Колесникова	ЦК ВКП(б)	1	1	1.0
Б.Л. Лопатинского	ВКП(б)	1	1	1.0
Б.Л. Лопатинского	ГУГБ	1	1	1.0
Б.Л. Лопатинского	Правда	1	1	1.0
Б.М. Беккера	ВКП(б)	1	1	1.0
Б.М. Беккера	НКВД	1	1	1.0
Б.М. Беккера	Правда	1	1	1.0
Б.М. Беккера	ЦК ВКП(б)	1	1	1.0
Б.М. Нижника	НКВД	1	3	0.3333
Б.М. Оберталлера	ГУГБ	1	3	0.3333
Б.М. Оберталлера	Политбюро	1	3	0.3333
Б.М. Таля	Известия	1	2	0.5
Б.М. Таля	Коминтерн	1	2	0.5
Б.М. Таля	НКВД	1	2	0.5
Б.М. Таля	Политбюро	1	2	0.5
Б.Н. Розенфельда	НКВД	1	5	0.2
Б.Н. Розенфельда	ЦК ВКП(б)	1	5	0.2
Б.Н. Сахова	КПК	1	9	0.1111
Б.Н. Сахова	Политбюро	1	9	0.1111
Б.О. Норкина	ВКП(б)	1	1	1.0
Б.О. Норкина	ГУГБ	1	1	1.0
Б.О. Норкина	ЦК ВКП(б)	1	1	1.0
Б.П. Нестерова	ВКП(б)	1	1	1.0
Б.П. Нестерова	ГУГБ	1	1	1.0
Б.П. Нестерова	ИККИ	1	1	1.0
Б.П. Нестерова	Политбюро	1	1	1.0
Б.П. Нестерова	Правда	1	1	1.0
Б.П. Нестерова	Совнарком	1	1	1.0
Б.П. Нестерова	ЦК ВКП(б)	1	1	1.0
Б.П. Нестеровым	ВКП(б)	1	1	1.0
Б.П. Нестеровым	ЦК ВКП(б)	1	1	1.0
Б.С. Рабиновича	ВКП(б)	1	1	1.0
Б.С. Рабиновича	ГУГБ	1	1	1.0
Б.С. Рабиновича	НКВД	1	1	1.0
Б.С. Рабиновича	Правда	1	1	1.0
Б.Э. Раткая	ВКП(б)	1	1	1.0
Б.Э. Раткая	ГУГБ	1	1	1.0
Б.Э. Раткая	НКВД	1	1	1.0
Бухарин	Верховный Совет СССР	1	73	0.0137
В.А. Антонов-Овсеенко	Политбюро	1	1	1.0
В.А. Антонов-Овсеенко	Правда	1	1	1.0
В.А. Балицкого	Совнарком	1	13	0.0769
В.А. Барута	ВКП(б)	1	9	0.1111
В.А. Ваганяна	ВКП(б)	1	1	1.0
В.А. Ваганяна	Политбюро	1	1	1.0
В.А. Ваганяна	ЦК ВКП(б)	1	1	1.0
В.А. Ельчаниновой	НКВД	1	2	0.5
В.А. Ельчаниновой	Секретариат ЦИК СССР	1	2	0.5
В.А. Котова	Коминтерн	1	2	0.5
В.А. Котова	НКВД	1	2	0.5
В.А. Сорокина	ВКП(б)	1	1	1.0
В.А. Тер-Ваганян	ИНО ГУГБ	1	3	0.3333
В.А. Тер-Ваганян	КПК	1	3	0.3333
В.А. Тер-Ваганян	Коминтерн	1	3	0.3333
В.А. Тер-Ваганян	ОО ГУГБ НКВД	1	3	0.3333
В.А. Тер-Ваганян	Политбюро	1	3	0.3333
В.А. Тер-Ваганян	Прокуратура СССР	1	3	0.3333
В.А. Финашина	ВКП(б)	1	1	1.0
В.В. Глухенко	Правда	1	6	0.1667
В.В. Кузьмина	ГУГБ	1	7	0.1429
В.В. Кузьмина	Известия	1	7	0.1429
В.В. Кузьмина	Политбюро	1	7	0.1429
В.В. Ломинадзе	Правда	1	1	1.0
В.В. Осинского	ВКП(б)	1	4	0.25
В.В. Осинского	НКВД	1	4	0.25
В.В. Осинского	Политбюро	1	4	0.25
В.В. Осинского	ЦК ВКП(б)	1	4	0.25
В.В. Румянцевым	ВКП(б)	1	3	0.3333
В.В. Румянцнева	ВКП(б)	1	1	1.0
В.В. Румянцнева	ГУГБ	1	1	1.0
В.В. Румянцнева	НКВД	1	1	1.0
В.В. Ульриху	Известия	1	1	1.0
В.В. Шмидта	ГУГБ	1	4	0.25
В.В. Шмидта	НКВД	1	4	0.25
В.Г. Дорошина	НКВД	1	4	0.25
В.Г. Дорошина	ЦК ВКП(б)	1	4	0.25
В.Г. Лукина	НКВД	1	1	1.0
В.Г. Яковенко	КПК	1	3	0.3333
В.Г. Яковенко	ЦИК СССР	1	3	0.3333
В.Д. Вуйовича	ВКП(б)	1	2	0.5
В.Д. Вуйовича	ГУГБ	1	2	0.5
В.Д. Вуйовича	КПК	1	2	0.5
В.Д. Вуйовича	КПК при ЦК ВКП(б)	1	2	0.5
В.Д. Вуйовича	Коминтерн	1	2	0.5
В.Д. Вуйовича	Политбюро	1	2	0.5
В.Д. Вуйовича	ЦК ВКП(б)	1	2	0.5
