raw_person	canonical_person	reason	confidence	document_count	total_words	first_date	last_date	processes	collections
Б.Г. Козелева	Козелева	initials_stripped_unreviewed	medium	3	14200	1936-12-25T20:31:16	1937-02-13T17:09:39	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Марьясина	Марьясина	initials_stripped_unreviewed	medium	3	10048	1937-01-31T22:21:26	1937-02-10T22:25:32	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Окуджавы	Окуджавы	initials_stripped_unreviewed	medium	3	3189	1936-08-27T17:02:48	1937-02-10T16:58:51	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Овчинникова	Овчинникова	initials_stripped_unreviewed	medium	3	6753	1936-12-17T00:29:00	1937-02-05T11:51:36	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Крестинского	Крестинского	initials_stripped_unreviewed	medium	3	1226	1928-04-08T15:09:15	1937-01-26T17:58:39	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ
А.А. Трояновского	Трояновского	initials_stripped_unreviewed	medium	3	576	1937-01-23T20:54:34	1937-01-25T17:55:24	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ
А.Ю. Айхенвальда	Айхенвальда	initials_stripped_unreviewed	medium	3	2277	1933-02-19T14:16:52	1933-04-13T11:34:29	ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ
С.И. Лукашика	Лукашика	initials_stripped_unreviewed	medium	3	9443	1937-01-19T11:10:34	1937-01-25T11:20:10	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Я. Вышинскому	Вышинский	initials_plus_manual_variant	high	3	2159	1936-09-02T18:07:44	1937-01-24T14:26:11	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | СПРАВКА
Л.П. Серебряковым	Серебряковым	initials_stripped_unreviewed	medium	3	7534	1937-01-16T08:01:48	1937-01-17T15:19:34	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Гасвиани	Гасвиани	initials_stripped_unreviewed	medium	3	4971	1936-08-26T14:30:36	1937-01-17T12:07:26	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Турока	Турока	initials_stripped_unreviewed	medium	3	14965	1937-01-03T16:16:25	1937-01-16T15:54:17	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Оберталлера	Оберталлера	initials_stripped_unreviewed	medium	3	10231	1936-09-26T01:36:00	1937-01-15T20:49:30	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Серебрякова	Серебрякова	initials_stripped_unreviewed	medium	3	8464	1936-12-17T13:13:59	1937-01-15T15:49:24	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.М. Лукиной-	Лукиной-	initials_stripped_unreviewed	medium	3	1722	1936-08-23T19:40:57	1937-01-13T19:46:24	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН
Я.Н. Вечерковского	Вечерковского	initials_stripped_unreviewed	medium	3	8002	1937-01-03T19:38:40	1937-01-10T19:46:17	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Глебова-	Глебова-	initials_stripped_unreviewed	medium	3	7576	1936-10-21T06:40:00	1936-12-26T00:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Сапожникова	Сапожникова	initials_stripped_unreviewed	medium	3	33415	1936-09-08T00:36:00	1936-12-26T00:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Гордона	Гордона	initials_stripped_unreviewed	medium	3	4676	1936-10-20T14:35:32	1936-11-29T14:39:24	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Андрееву	Андрееву	initials_stripped_unreviewed	medium	3	1436	1936-05-19T18:37:00	1936-11-25T19:19:49	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
С.Я. Шаева	Шаева	initials_stripped_unreviewed	medium	3	5791	1936-10-31T13:52:22	1936-11-14T13:54:11	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Каспаровой	Каспаровой	initials_stripped_unreviewed	medium	3	2529	1936-11-05T21:51:56	1936-11-11T21:07:49	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Бурлакова	Бурлакова	initials_stripped_unreviewed	medium	3	7685	1936-10-15T01:36:00	1936-11-06T10:40:51	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Михетко	Михетко	initials_stripped_unreviewed	medium	3	7901	1936-10-24T00:29:00	1936-11-01T02:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Докучаева	Докучаева	initials_stripped_unreviewed	medium	3	3591	1936-09-21T02:36:00	1936-10-29T20:59:15	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Коцюбинского	Коцюбинского	initials_stripped_unreviewed	medium	3	8865	1936-10-16T21:54:28	1936-10-25T21:33:36	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Москалева	Москалева	initials_stripped_unreviewed	medium	3	2298	1936-09-13T00:36:00	1936-09-14T02:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.О. Зюка	Зюка	initials_stripped_unreviewed	medium	3	5393	1936-08-21T01:10:00	1936-09-04T01:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Кузьмичева	Кузьмичева	initials_stripped_unreviewed	medium	3	3264	1936-07-09T00:10:00	1936-09-03T01:36:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Лурье	Лурье	initials_stripped_unreviewed	medium	3	10585	1936-06-13T01:14:00	1936-08-28T13:07:20	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Тер-	Тер-	initials_stripped_unreviewed	medium	3	4985	1936-07-16T00:10:00	1936-08-14T05:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
А.И. Биркенгофа	Биркенгофа	initials_stripped_unreviewed	medium	3	10189	1936-05-23T01:10:00	1936-06-22T00:14:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Л. Быховского	Быховского	initials_stripped_unreviewed	medium	3	7673	1936-04-27T02:30:00	1936-05-20T02:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Гуревича	Гуревича	initials_stripped_unreviewed	medium	3	7698	1936-04-20T02:00:00	1936-05-18T00:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.В. Когану	Когану	initials_stripped_unreviewed	medium	2	1249	1938-03-01T07:59:05	1938-03-04T09:59:22	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН
Л.Д. Гогоберидзе	Гогоберидзе	initials_stripped_unreviewed	medium	2	11783	1936-10-29T16:46:49	1937-03-17T11:06:09	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Берии	Берии	initials_stripped_unreviewed	medium	2	3713	1936-09-05T14:14:40	1937-03-08T17:05:09	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Закамалдина	Закамалдина	initials_stripped_unreviewed	medium	2	3067	1937-02-21T10:56:26	1937-02-26T12:50:33	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Ф. Постоловского	Постоловского	initials_stripped_unreviewed	medium	2	4105	1937-01-07T08:25:04	1937-02-23T19:22:52	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Маевского	Маевского	initials_stripped_unreviewed	medium	2	6139	1937-02-08T20:04:08	1937-02-22T21:14:21	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Радин	Радин	identity_unreviewed	low	2	12030	1937-02-13T20:51:20	1937-02-22T21:10:32	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Д. Арефьева	Арефьева	initials_stripped_unreviewed	medium	2	5002	1933-04-01T12:21:44	1937-02-21T13:39:11	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Гавен	Гавен	identity_unreviewed	low	2	5433	1936-04-15T09:29:00	1936-04-23T00:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Пономарева	Пономарева	initials_stripped_unreviewed	medium	2	3392	1936-03-21T02:00:00	1936-04-14T08:23:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Бочарова	Бочарова	initials_stripped_unreviewed	medium	2	3592	1936-04-13T08:20:00	1936-04-24T12:51:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.Г. Гатаулина	Гатаулина	initials_stripped_unreviewed	medium	2	1820	1936-03-26T00:00:00	1936-04-09T02:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.А. Фуртичева	Фуртичева	initials_stripped_unreviewed	medium	2	5390	1936-04-09T01:00:00	1936-05-04T01:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Соколова	Соколова	initials_stripped_unreviewed	medium	2	4158	1936-03-26T02:00:00	1936-04-08T01:23:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Н. Нечаева	Нечаева	initials_stripped_unreviewed	medium	2	1749	1936-03-28T01:00:00	1936-04-04T00:03:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.П. Загорулько	Загорулько	initials_stripped_unreviewed	medium	2	2517	1936-03-25T04:00:00	1936-04-03T03:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.С. Розановым	Розановым	initials_stripped_unreviewed	medium	2	1596	1936-03-31T16:10:00	1936-04-03T03:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Х. Розенблюма	Розенблюма	initials_stripped_unreviewed	medium	2	3870	1936-03-13T01:22:00	1936-04-03T01:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Стукова	Стукова	initials_stripped_unreviewed	medium	2	2193	1936-03-28T02:00:00	1936-04-02T02:42:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.И. Гидлевского	Гидлевского	initials_stripped_unreviewed	medium	2	2254	1936-03-16T02:36:00	1936-04-02T01:42:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Г. Сафьянова	Сафьянова	initials_stripped_unreviewed	medium	2	1981	1936-04-01T01:42:00	1936-04-29T03:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Я. Маренко	Маренко	initials_stripped_unreviewed	medium	2	2361	1936-03-31T16:10:00	1936-04-01T00:42:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.А. Озола	Озола	initials_stripped_unreviewed	medium	2	2373	1936-03-21T06:00:00	1936-03-28T03:00:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.И. Майзлиной	Майзлиной	initials_stripped_unreviewed	medium	2	1886	1936-03-09T03:22:00	1936-03-14T01:22:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Досекина	Досекина	initials_stripped_unreviewed	medium	2	1279	1936-03-02T00:42:00	1936-03-10T01:22:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Ракова	Ракова	initials_stripped_unreviewed	medium	2	1737	1936-02-21T01:42:00	1936-02-28T00:42:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.В. Флоровой	Флоровой	initials_stripped_unreviewed	medium	2	2138	1936-02-26T01:42:00	1936-05-08T01:10:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Лехтмана	Лехтмана	initials_stripped_unreviewed	medium	2	3442	1935-11-28T19:07:00	1935-12-22T00:04:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Крыженко	Крыженко	initials_stripped_unreviewed	medium	2	1236	1935-10-17T19:59:00	1935-11-28T20:07:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.А. Афанасьева	Афанасьева	initials_stripped_unreviewed	medium	2	5106	1935-11-03T20:58:14	1936-12-23T01:29:00	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
А.А. Лаврентьева	Лаврентьева	initials_stripped_unreviewed	medium	2	723	1935-10-31T17:07:00	1935-11-01T17:08:00	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Шипихина	Шипихина	initials_stripped_unreviewed	medium	2	6755	1935-08-26T13:51:45	1935-10-21T18:34:00	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ
С.Г. Радомысльского	Радомысльского	initials_stripped_unreviewed	medium	2	3212	1935-07-16T16:44:56	1936-10-09T13:04:48	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Гусева	Гусева	initials_stripped_unreviewed	medium	2	1864	1935-03-20T04:00:00	1935-07-01T18:41:00	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.А. Петерсона	Петерсона	initials_stripped_unreviewed	medium	2	1291	1935-05-10T21:54:55	1935-05-24T15:02:00	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Е.Н. Васильева	Васильева	initials_stripped_unreviewed	medium	2	613	1935-05-10T14:57:00	1935-05-17T14:58:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Д.И. Антипаса	Антипаса	initials_stripped_unreviewed	medium	2	6184	1935-04-06T21:46:15	1935-05-10T21:54:55	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ
В.М. Рохинсона	Рохинсона	initials_stripped_unreviewed	medium	2	2325	1935-04-17T01:00:00	1935-04-29T00:10:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.С. Беннет	Беннет	initials_stripped_unreviewed	medium	2	6066	1935-04-20T00:35:00	1935-04-28T00:10:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Н. Рябинина	Рябинина	initials_stripped_unreviewed	medium	2	2344	1935-04-04T00:00:00	1935-04-23T01:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Чернозубовой	Чернозубовой	initials_stripped_unreviewed	medium	2	2687	1935-04-10T01:05:00	1935-04-22T02:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Н. Минервиной	Минервиной	initials_stripped_unreviewed	medium	2	3373	1935-03-21T04:00:00	1935-04-22T01:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Мищенко	Мищенко	initials_stripped_unreviewed	medium	2	1083	1935-03-14T03:00:00	1935-04-17T04:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Полякова	Полякова	initials_stripped_unreviewed	medium	2	1678	1935-02-10T02:00:00	1935-04-17T02:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.Г. Иванова	Иванова	initials_stripped_unreviewed	medium	2	2276	1935-03-29T01:09:00	1935-04-10T00:05:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Перельштейн	Перельштейн	initials_stripped_unreviewed	medium	2	2785	1935-04-01T02:00:00	1935-04-08T02:04:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Новожилова	Новожилова	initials_stripped_unreviewed	medium	2	3145	1935-04-03T03:00:00	1935-04-03T05:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Вуйовича	Вуйовича	initials_stripped_unreviewed	medium	2	2332	1935-02-16T15:11:14	1935-04-03T04:00:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Б. Скаловой	Скаловой	initials_stripped_unreviewed	medium	2	2775	1935-03-31T00:00:00	1935-04-03T01:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Д. Соколовой	Соколовой	initials_stripped_unreviewed	medium	2	6727	1935-03-25T02:28:00	1935-04-01T14:50:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Б. Черномордику	Черномордику	initials_stripped_unreviewed	medium	2	432	1935-03-29T11:50:26	1935-03-29T12:05:36	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ
Д.С. Азбеля	Азбеля	initials_stripped_unreviewed	medium	2	2214	1935-03-17T00:00:00	1935-03-29T00:08:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Хосроева	Хосроева	initials_stripped_unreviewed	medium	2	3664	1935-03-27T03:34:00	1935-03-28T08:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.О. Симак	Симак	initials_stripped_unreviewed	medium	2	1256	1935-02-15T05:39:00	1935-03-20T08:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Бурковой	Бурковой	initials_stripped_unreviewed	medium	2	4503	1933-11-29T18:50:09	1935-03-20T01:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.П. Денисовой	Денисовой	initials_stripped_unreviewed	medium	2	1794	1935-02-28T01:00:00	1935-03-17T05:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Ельчаниновой	Ельчаниновой	initials_stripped_unreviewed	medium	2	2082	1935-03-08T04:00:00	1935-03-13T04:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Гаврикова	Гаврикова	initials_stripped_unreviewed	medium	2	2520	1935-02-08T01:00:00	1935-03-02T02:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Е. Павлова	Павлова	initials_stripped_unreviewed	medium	2	1585	1935-02-10T00:00:00	1935-02-28T00:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Ворошилова	Ворошилова	initials_stripped_unreviewed	medium	2	6343	1935-02-16T13:01:00	1936-08-31T21:42:43	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ
А.М. Горькому	Горькому	initials_stripped_unreviewed	medium	2	2515	1935-01-17T23:18:28	1935-01-27T08:32:25	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ
К.С. Модебадзе	Модебадзе	initials_stripped_unreviewed	medium	2	3561	1935-01-26T09:44:30	1937-02-08T16:54:44	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Ворошилову	Ворошилову	initials_stripped_unreviewed	medium	2	1087	1935-01-25T01:19:00	1936-10-06T17:03:46	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.З. Мануильскому	Мануильскому	initials_stripped_unreviewed	medium	2	1781	1935-01-23T09:49:30	1936-08-11T18:39:00	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ
Н.М. Насонова	Насонова	initials_stripped_unreviewed	medium	2	1272	1935-01-20T00:00:00	1935-01-22T00:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.С. Зорина	Зорина	initials_stripped_unreviewed	medium	2	890	1935-01-02T22:01:33	1935-01-21T03:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.С. Мишаковой	Мишаковой	initials_stripped_unreviewed	medium	2	481	1935-01-20T00:30:00	1935-01-20T02:00:00	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.М. Репникова	Репникова	initials_stripped_unreviewed	medium	2	2024	1935-01-09T05:00:00	1935-01-14T12:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.К. Магдарьева	Магдарьева	initials_stripped_unreviewed	medium	2	391	1935-01-12T09:00:00	1935-01-13T02:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.В. Шаровым	Шаровым	initials_stripped_unreviewed	medium	2	789	1935-01-04T16:00:00	1935-01-10T10:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Герцбергом	Герцбергом	initials_stripped_unreviewed	medium	2	652	1935-01-05T20:00:00	1935-01-07T07:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Куклиным	Куклиным	initials_stripped_unreviewed	medium	2	498	1935-01-02T20:00:00	1935-01-07T07:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
Э.Б. Абрамсона	Абрамсона	initials_stripped_unreviewed	medium	2	1165	1935-01-06T01:00:00	1935-01-07T00:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Тарасовым	Тарасовым	initials_stripped_unreviewed	medium	2	541	1934-12-22T04:00:00	1935-01-05T19:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Цатуровой-	Цатуровой-	initials_stripped_unreviewed	medium	2	480	1934-12-31T09:00:00	1935-01-04T13:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Румянцева	Румянцева	initials_stripped_unreviewed	medium	2	370	1934-12-24T02:19:56	1935-01-04T10:41:17	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ
Ю.Б. Тартаковской	Тартаковской	initials_stripped_unreviewed	medium	2	1267	1934-12-23T01:00:00	1935-01-03T11:00:00	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ
