person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
М.М. Карпова	1	1832	1937-01-20T20:46:19	1937-01-20T20:46:19	political_label_context	state_apparatus:1 | press_media:1 | party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1 | Политбюро:1 | Совнарком:1	комиссар:1 | редактор:1 | секретарь:1		правый:1 | троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.М. Литвинова	1	220	1937-01-27T19:21:42	1937-01-27T19:21:42	trial_role_context | political_label_context			адвокат:1	обвиняемый:1 | свидетель:1	троцкист:1			telegram:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.М. Малинова	1	461	1936-12-30T21:51:56	1936-12-30T21:51:56	political_label_context	party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1	секретарь:1		троцкист:1			administrative_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.М. Михайлова	1	1272	1935-03-31T02:00:00	1935-03-31T02:00:00		party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1	заместитель:1 | комиссар:1 | начальник:1 | секретарь:1					special_report:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.М. Оскольский-Финкельштейн	1	1437	1936-10-03T00:36:00	1936-10-03T00:36:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | заместитель:1 | комиссар:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.М. Харитоновым	1	1644	1935-01-11T08:00:00	1935-01-11T08:00:00	political_label_context	international:1 | security_apparatus:1	ГУГБ:1 | Коминтерн:1 | НКВД:1	нарком:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		член:1	confrontation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Н. Авдеева	1	463	1935-01-05T14:00:00	1935-01-05T14:00:00	political_label_context	party_apparatus:1	ВКП(б):1			троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Н. Дьячкова	1	3630	1936-12-20T20:01:01	1936-12-20T20:01:01	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | Политбюро:1	директор:1 | заместитель:1 | комиссар:1 | нарком:1 | начальник:1 | председатель:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Н. Уфимцевой	1	1139	1936-10-29T17:04:30	1936-10-29T17:04:30	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	комиссар:1 | председатель:1 | руководитель:1 | секретарь:1		троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Н. Цинцадзе	1	1201	1936-08-16T16:52:39	1936-08-16T16:52:39	trial_role_context | political_label_context			нарком:1 | руководитель:1	обвиняемый:1	троцкист:1		член:1	testimony:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.П. Давыдова	1	2727	1936-11-09T10:30:37	1936-11-09T10:30:37	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | комиссар:1 | нарком:1 | начальник:1 | председатель:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		представитель:1 | член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.П. Луковского	1	1040	1936-12-19T19:58:05	1936-12-19T19:58:05		state_apparatus:1 | security_apparatus:1	Совнарком:1 | ГУГБ:1	директор:1 | начальник:1 | секретарь:1				кандидат:1 | сотрудник:1 | член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.П. Прибыловского	1	2146	1937-02-17T11:41:56	1937-02-17T11:41:56	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | НКВД:1	заместитель:1 | комиссар:1 | начальник:1 | председатель:1 | секретарь:1		правый:1 | троцкист:1		представитель:1 | член:1	statement:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.П. Стремякова	1	849	1935-01-07T01:00:00	1935-01-07T01:00:00	political_label_context	party_apparatus:1	ВКП(б):1	директор:1 | нарком:1 | редактор:1		троцкист:1		кандидат:1 | член:1	interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.С. Голендо	1	9927	1935-07-23T17:47:00	1935-07-23T17:47:00	trial_role_context | political_label_context | accusatory_label_context	state_apparatus:1 | press_media:1 | party_apparatus:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1 | Совнарком:1	заместитель:1 | комиссар:1 | корреспондент:1 | нарком:1 | наркомвнудел:1 | начальник:1 | председатель:1 | секретарь:1 | следователь:1	обвиняемый:1	правый:1 | троцкист:1	агент:1	представитель:1 | член:1	special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.С. Жалыбина-Быкова	1	865	1935-01-20T00:10:34	1935-01-20T00:10:34	trial_role_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	комиссар:1 | секретарь:1	свидетель:1				special_report:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.С. Панфилова	1	272	1935-01-02T16:00:00	1935-01-02T16:00:00		security_apparatus:1	ГУГБ:1 | НКВД:1						interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.С. Югова	1	168	1935-04-30T18:56:37	1935-04-30T18:56:37	political_label_context	party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1	комиссар:1 | секретарь:1		троцкист:1			statement:1	РАЗНЫЕ ДОКУМЕНТЫ:1	РАЗНЫЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
М.Ф. Иоэльсона	1	1574	1936-09-23T02:36:00	1936-09-23T02:36:00	political_label_context | accusatory_label_context	press_media:1 | party_apparatus:1 | security_apparatus:1	ВКП(б):1 | Правда:1 | ГУГБ:1 | Известия:1 | ЦК ВКП(б):1	комиссар:1 | корреспондент:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1	агент:1	член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Х. Орлова	1	1869	1936-10-21T21:43:32	1936-10-21T21:43:32	political_label_context	press_media:1 | security_apparatus:1	ГУГБ:1 | Правда:1	корреспондент:1 | начальник:1 | редактор:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		сотрудник:1 | член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Я. Карпова	1	2776	1937-01-31T10:41:48	1937-01-31T10:41:48	political_label_context	press_media:1 | party_apparatus:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | Известия:1 | Правда:1 | ЦК ВКП(б):1	комиссар:1 | начальник:1 | редактор:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		представитель:1 | член:1	special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
М.Я. Презента	1	1099	1935-02-11T05:34:00	1935-02-11T05:34:00	political_label_context	state_apparatus:1 | party_apparatus:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | НКИД:1 | ГУГБ:1 | ЦИК СССР:1	редактор:1 | секретарь:1		правый:1		сотрудник:1 | член:1	interrogation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.А. Бобылева	1	1669	1936-09-16T00:36:00	1936-09-16T00:36:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | Политбюро:1	начальник:1 | руководитель:1		троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.А. Емельянова	1	352	1935-01-02T22:01:33	1935-01-02T22:01:33		press_media:1 | party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | Правда:1	директор:1 | комиссар:1 | секретарь:1				член:1	special_report:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.А. Королева	1	981	1936-10-26T21:46:25	1936-10-26T21:46:25	trial_role_context | political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1 | НКВД:1	заместитель:1 | начальник:1 | секретарь:1	обвиняемый:1	троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.А. Углановым	1	203	1933-03-21T08:02:07	1933-03-21T08:02:07	political_label_context			секретарь:1		правый:1			confrontation_protocol:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ПРЕДЫСТОРИЯ:1	cooccurrence_profile_not_biographical_claim
Н.В. Комогорова	1	6540	1935-07-20T21:42:57	1935-07-20T21:42:57	trial_role_context | political_label_context	party_apparatus:1 | state_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | ГУГБ:1 | Известия:1 | Правда:1 | ЦК ВКП(б):1 | Коминтерн:1 | Совнарком:1 | Лига Наций:1	адвокат:1 | комиссар:1 | начальник:1 | редактор:1 | секретарь:1	обвиняемый:1	правый:1 | троцкист:1		член:1	special_report:1	РАЗНЫЕ ДОКУМЕНТЫ:1	РАЗНЫЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Н.Г. Андрейчука	1	478	1935-10-13T18:55:00	1935-10-13T18:55:00	trial_role_context | political_label_context				обвиняемый:1	правый:1 | троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Г. Ольховского	1	5687	1936-10-22T00:29:00	1936-10-22T00:29:00	political_label_context | accusatory_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | Политбюро:1	директор:1 | комиссар:1 | нарком:1 | начальник:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1	агент:1	член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Г. Туманова	1	1489	1936-08-30T00:20:00	1936-08-30T00:20:00	political_label_context	press_media:1 | party_apparatus:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	адвокат:1 | комиссар:1 | нарком:1 | полпред:1 | секретарь:1		троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Д. Зарицкого	1	589	1938-03-01T07:59:05	1938-03-01T07:59:05		state_apparatus:1	ЦИК СССР:1	следователь:1					memo_note:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	БУХАРИН:1	cooccurrence_profile_not_biographical_claim
Н.Е. Нилендера	1	2463	1936-04-12T08:20:00	1936-04-12T08:20:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1	директор:1 | комиссар:1 | руководитель:1 | секретарь:1		троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.И. Андреева	1	2795	1936-10-05T22:30:29	1936-10-05T22:30:29	accusatory_label_context	security_apparatus:1	ГУГБ:1	заместитель:1 | начальник:1 | руководитель:1			агент:1	представитель:1 | сотрудник:1 | член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.И. Медникова	1	1743	1936-11-04T12:01:36	1936-11-04T12:01:36	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | заместитель:1 | комиссар:1 | нарком:1 | начальник:1 | председатель:1 | редактор:1 | секретарь:1		правый:1 | троцкист:1		кандидат:1 | член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.И. Мильгевского	1	1228	1936-05-03T00:10:00	1936-05-03T00:10:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1	директор:1 | руководитель:1		троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.И. Третьякова	1	1776	1936-10-16T18:30:07	1936-10-16T18:30:07	trial_role_context | political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1 | НКВД:1	заместитель:1 | нарком:1 | начальник:1 | секретарь:1	обвиняемый:1	правый:1 | троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.И. Трубиева	1	3444	1936-12-10T18:15:10	1936-12-10T18:15:10	trial_role_context | political_label_context | accusatory_label_context	press_media:1 | party_apparatus:1 | international:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1 | Коминтерн:1	заместитель:1 | комиссар:1 | начальник:1 | секретарь:1	обвиняемый:1	троцкист:1	агент:1	член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.К. Буянского	1	3717	1936-12-28T19:38:45	1936-12-28T19:38:45	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | заместитель:1 | комиссар:1 | нарком:1 | начальник:1 | секретарь:1		троцкист:1		представитель:1 | член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.М. Букалова	1	2826	1937-07-05T18:04:07	1937-07-05T18:04:07	political_label_context | accusatory_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | заместитель:1 | комиссар:1 | начальник:1 | председатель:1 | прокурор:1 | редактор:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1	вредитель:1	сотрудник:1	special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.М. Гальперина	1	1048	1936-05-22T02:10:00	1936-05-22T02:10:00	political_label_context	security_apparatus:1	ГУГБ:1			троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Н. Ванага	1	1083	1936-09-16T14:56:42	1936-09-16T14:56:42	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ГУГБ:1	директор:1 | редактор:1 | руководитель:1		троцкист:1		представитель:1 | член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Н. Колотилина	1	461	1936-12-30T21:51:56	1936-12-30T21:51:56	political_label_context	party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1	секретарь:1		троцкист:1			administrative_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Н.Н. Соина	1	1661	1935-11-01T08:46:04	1935-11-01T08:46:04		press_media:1 | party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | Правда:1 | НКВД:1	начальник:1 | председатель:1 | следователь:1				сотрудник:1 | член:1	letter:1	РАЗНЫЕ ДОКУМЕНТЫ:1	РАЗНЫЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Н.П. Гаврилова	1	2554	1936-12-25T13:39:36	1936-12-25T13:39:36	trial_role_context | political_label_context	press_media:1 | party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | Правда:1	начальник:1	обвиняемый:1	троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.Р. Кикнадзе	1	462	1936-09-02T16:58:23	1936-09-02T16:58:23	trial_role_context | political_label_context	security_apparatus:1	НКВД:1		обвиняемый:1	троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.С. Веритовой	1	1002	1936-04-11T01:00:00	1936-04-11T01:00:00	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1			троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.С. Сычева	1	2320	1936-11-11T21:25:55	1936-11-11T21:25:55	trial_role_context | political_label_context	party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1	заместитель:1 | комиссар:1 | нарком:1 | начальник:1 | руководитель:1 | секретарь:1	обвиняемый:1	правый:1 | троцкист:1		член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Н.С. Хрущева	1	215	1936-08-22T22:09:02	1936-08-22T22:09:02		party_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1	нарком:1 | секретарь:1					memo_note:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Н.Ф. Печерского	1	2780	1936-06-03T07:12:00	1936-06-03T07:12:00	trial_role_context | political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | НКВД:1	директор:1 | комиссар:1 | председатель:1 | руководитель:1 | секретарь:1	обвиняемый:1	троцкист:1		сотрудник:1 | член:1	special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
О.А. Лидака	1	2224	1936-09-13T14:53:24	1936-09-13T14:53:24	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1	директор:1 | заместитель:1 | комиссар:1 | председатель:1 | секретарь:1		троцкист:1			special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
О.А. Мешковской	1	3133	1936-04-15T00:28:00	1936-04-15T00:28:00	political_label_context	party_apparatus:1 | international:1 | security_apparatus:1	КПК:1 | ВКП(б):1 | ИККИ:1 | ГУГБ:1 | ЦК ВКП(б):1 | Коминтерн:1	директор:1 | заместитель:1 | комиссар:1 | руководитель:1 | секретарь:1		троцкист:1		сотрудник:1 | член:1	special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
О.Ф. Янкуса	1	5119	1937-01-13T16:19:14	1937-01-13T16:19:14	political_label_context | accusatory_label_context	party_apparatus:1 | international:1 | security_apparatus:1	НКВД:1 | ВКП(б):1 | ИККИ:1 | ГУГБ:1 | ЦК ВКП(б):1 | Коминтерн:1	комиссар:1 | начальник:1 | председатель:1 | редактор:1 | руководитель:1 | секретарь:1		троцкист:1	агент:1	представитель:1 | сотрудник:1 | член:1	special_report:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.А. Бака	1	407	1934-12-22T02:00:00	1934-12-22T02:00:00		party_apparatus:1	ВКП(б):1	секретарь:1				член:1	interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.А. Коркину	1	173	1935-01-04T04:00:00	1935-01-04T04:00:00				следователь:1				член:1	statement:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.А. Кравкова	1	2167	1936-10-08T18:25:50	1936-10-08T18:25:50	political_label_context	security_apparatus:1	ГУГБ:1 | НКВД:1	нарком:1 | руководитель:1 | секретарь:1		троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.В. Чистову	1	288	1936-11-24T00:29:00	1936-11-24T00:29:00	political_label_context | accusatory_label_context	security_apparatus:1	НКВД:1	директор:1 | следователь:1		троцкист:1	агент:1	член:1	statement:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.Г. Орлова	1	2298	1936-09-22T00:36:00	1936-09-22T00:36:00	trial_role_context | political_label_context	party_apparatus:1	ВКП(б):1	нарком:1 | начальник:1	обвиняемый:1	троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.И. Бакаева	1	489	1936-08-20T17:39:00	1936-08-20T17:39:00	trial_role_context | political_label_context	security_apparatus:1	НКВД:1	редактор:1	подсудимый:1	троцкист:1			letter:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
П.И. Жиромского	1	716	1935-04-30T00:10:00	1935-04-30T00:10:00		party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1	нарком:1 | начальник:1 | секретарь:1				сотрудник:1	interrogation_protocol:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.И. Решетниченко	1	2457	1936-07-08T12:49:00	1936-07-08T12:49:00	political_label_context			начальник:1 | руководитель:1		троцкист:1		представитель:1 | член:1	interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
П.И. Шабалкина	1	1209	1936-05-13T19:15:58	1936-05-13T19:15:58	political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | Политбюро:1	комиссар:1 | руководитель:1 | секретарь:1		правый:1 | троцкист:1		член:1	special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
П.К. Башенкова	1	553	1933-03-31T11:31:26	1933-03-31T11:31:26	political_label_context	state_apparatus:1 | party_apparatus:1	ВКП(б):1 | Совнарком:1 | ЦК ВКП(б):1	секретарь:1		правый:1			special_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ПРЕДЫСТОРИЯ:1	cooccurrence_profile_not_biographical_claim
П.Н. Кашина	1	2758	1936-09-15T13:39:19	1936-09-15T13:39:19	trial_role_context | political_label_context	party_apparatus:1 | security_apparatus:1	ВКП(б):1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	директор:1 | председатель:1 | прокурор:1 | руководитель:1 | секретарь:1	свидетель:1	правый:1 | троцкист:1		член:1	interrogation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
