entity	entity_type	confidence	document_count	total_words	process_count	processes	collection_count	collections
Н.И. Москалева	PERSON	high	3	2298	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
ИНО	UNKNOWN	low	3	2794	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
обвиняемого	UNKNOWN	low	3	2900	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.О. Зюка	PERSON	high	3	5393	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Кузьмичева	PERSON	high	3	3264	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Лурье	PERSON	high	3	10585	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Тер-	PERSON	high	3	4985	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
А.И. Биркенгофа	PERSON	high	3	10189	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Л. Быховского	PERSON	high	3	7673	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Гуревича	PERSON	high	3	7698	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.В. Когану	PERSON	high	2	1249	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
редакцию	UNKNOWN	low	2	2149	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Л.Д. Гогоберидзе	PERSON	high	2	11783	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Берии	PERSON	high	2	3713	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Закамалдина	PERSON	high	2	3067	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Ф. Постоловского	PERSON	high	2	4105	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Маевского	PERSON	high	2	6139	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Радин	PERSON	high	2	12030	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Д. Арефьева	PERSON	high	2	5002	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Гавен	PERSON	high	2	5433	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Пономарева	PERSON	high	2	3392	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Бочарова	PERSON	high	2	3592	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.Г. Гатаулина	PERSON	high	2	1820	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.А. Фуртичева	PERSON	high	2	5390	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Соколова	PERSON	high	2	4158	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Н. Нечаева	PERSON	high	2	1749	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.П. Загорулько	PERSON	high	2	2517	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.С. Розановым	PERSON	high	2	1596	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Х. Розенблюма	PERSON	high	2	3870	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Стукова	PERSON	high	2	2193	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.И. Гидлевского	PERSON	high	2	2254	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Г. Сафьянова	PERSON	high	2	1981	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Я. Маренко	PERSON	high	2	2361	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.А. Озола	PERSON	high	2	2373	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.И. Майзлиной	PERSON	high	2	1886	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Досекина	PERSON	high	2	1279	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Ракова	PERSON	high	2	1737	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.В. Флоровой	PERSON	high	2	2138	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Лехтмана	PERSON	high	2	3442	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Крыженко	PERSON	high	2	1236	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
рядах	UNKNOWN	low	2	231	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Е.А. Афанасьева	PERSON	high	2	5106	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
А.А. Лаврентьева	PERSON	high	2	723	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Шипихина	PERSON	high	2	6755	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
письма	DOCUMENT_TERM	high	2	2466	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
связи	UNKNOWN	low	2	4992	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
заместителя	UNKNOWN	low	2	1881	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
мерах	UNKNOWN	low	2	2229	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Г. Радомысльского	PERSON	high	2	3212	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Гусева	PERSON	high	2	1864	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
связях	UNKNOWN	low	2	1496	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Р.А. Петерсона	PERSON	high	2	1291	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Е.Н. Васильева	PERSON	high	2	613	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
деле	UNKNOWN	low	2	9320	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | ОЛЬБЕРГ
Д.И. Антипаса	PERSON	high	2	6184	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
В.М. Рохинсона	PERSON	high	2	2325	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.С. Беннет	PERSON	high	2	6066	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Н. Рябинина	PERSON	high	2	2344	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Чернозубовой	PERSON	high	2	2687	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Н. Минервиной	PERSON	high	2	3373	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Мищенко	PERSON	high	2	1083	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Полякова	PERSON	high	2	1678	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.Г. Иванова	PERSON	high	2	2276	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
кремлевских	UNKNOWN	low	2	1148	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Л.И. Перельштейн	PERSON	high	2	2785	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Новожилова	PERSON	high	2	3145	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Вуйовича	PERSON	high	2	2332	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Б. Скаловой	PERSON	high	2	2775	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Д. Соколовой	PERSON	high	2	6727	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Б. Черномордику	PERSON	high	2	432	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
личном	UNKNOWN	low	2	283	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ
обстоятельствах	UNKNOWN	low	2	2416	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ
Д.С. Азбеля	PERSON	high	2	2214	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Хосроева	PERSON	high	2	3664	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
закрытого	UNKNOWN	low	2	3815	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
ИККИ	UNKNOWN	low	2	2865	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
Е.О. Симак	PERSON	high	2	1256	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Бурковой	PERSON	high	2	4503	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Т.П. Денисовой	PERSON	high	2	1794	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Ельчаниновой	PERSON	high	2	2082	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Гаврикова	PERSON	high	2	2520	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Е. Павлова	PERSON	high	2	1585	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Ворошилова	PERSON	high	2	6343	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ
при	UNKNOWN	low	2	10664	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Ленинграде	UNKNOWN	medium	2	1388	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
выселению	UNKNOWN	low	2	2178	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
родственников	UNKNOWN	low	2	2323	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
А.М. Горькому	PERSON	high	2	2515	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
К.С. Модебадзе	PERSON	high	2	3561	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Ворошилову	PERSON	high	2	1087	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.З. Мануильскому	PERSON	high	2	1781	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ
Н.М. Насонова	PERSON	high	2	1272	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.С. Зорина	PERSON	high	2	890	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.С. Мишаковой	PERSON	high	2	481	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.М. Репникова	PERSON	high	2	2024	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.К. Магдарьева	PERSON	high	2	391	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.В. Шаровым	PERSON	high	2	789	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Герцбергом	PERSON	high	2	652	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Куклиным	PERSON	high	2	498	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Э.Б. Абрамсона	PERSON	high	2	1165	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Тарасовым	PERSON	high	2	541	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Цатуровой-	PERSON	high	2	480	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Румянцева	PERSON	high	2	370	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Ю.Б. Тартаковской	PERSON	high	2	1267	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.П. Бурмистрова	PERSON	high	2	380	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.П. Минаева	PERSON	high	2	1495	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
партком	UNKNOWN	low	2	3181	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 2-12 МАРТА 1938 г.	2	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ
Г.И. Шварца	PERSON	high	2	1048	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.И. Богомольного	PERSON	high	2	700	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Герцберга	PERSON	high	2	882	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
отношении	UNKNOWN	low	2	2630	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
З.Д. Ханик	PERSON	high	2	892	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Л.А. Шацкина	PERSON	high	2	1473	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | СПРАВКА
П.П. Северова	PERSON	high	2	887	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Сосицким	PERSON	high	2	426	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Муштакова	PERSON	high	2	630	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Н. Емельянова	PERSON	high	2	840	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.В. Соколовым	PERSON	high	2	795	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Румянцеву	PERSON	high	2	2493	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКИ КПК И ИМЛ
М.В. Муравьева	PERSON	high	2	608	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.П. Поташникова	PERSON	high	2	590	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Звездовым	PERSON	high	2	613	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.О. Мандельштама	PERSON	high	2	1303	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
управления	UNKNOWN	low	2	2282	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
С.А. Гоглидзе	PERSON	high	2	3401	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
следствии	UNKNOWN	low	2	1734	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
С.П. Калашникова	PERSON	high	2	4986	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Ф. Головина	PERSON	high	2	10512	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Х. Варданианом	PERSON	high	2	985	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.С. Тер-	PERSON	high	2	6073	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.П. Бухарцева	PERSON	high	2	3640	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Яковлевой	PERSON	high	2	2659	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ДРУГИЕ ДОКУМЕНТЫ
М.В. Бурштейном	PERSON	high	2	1523	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.К. Александрова	PERSON	high	2	6259	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
В.А. Котова	PERSON	high	2	6232	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Зорина	PERSON	high	2	2968	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Стецкого	PERSON	high	2	1455	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
издании	UNKNOWN	low	2	3235	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
антисоветского	UNKNOWN	low	2	4619	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.М. Рыбальченко	PERSON	high	2	1805	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.С. Мамишвили-	PERSON	high	2	5599	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Х. Варданиана	PERSON	high	2	6971	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.С. Дорофеева	PERSON	high	2	5010	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Раковского	PERSON	high	2	405	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
В.П. Потемкина	PERSON	high	2	360	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Т.Р. Левиной	PERSON	high	2	5120	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Е.В. Рогачевой	PERSON	high	2	683	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Шатского	PERSON	high	2	974	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Г. Петровского	PERSON	high	2	4126	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ПРЕДЫСТОРИЯ
трудоустройстве	UNKNOWN	low	2	611	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
чистке	UNKNOWN	low	2	10112	1	КРЕМЛЕВСКОЕ ДЕЛО	2	Г.Б. СИНАНИ-СКАЛОВ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
К.И. Грюнштейна	PERSON	high	2	3123	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
