person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
Е.Ф. Куликова	6	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	5	0.8333	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:6	process_profile_from_document_cooccurrence
Молотов	6	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	0.8333	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:6	process_profile_from_document_cooccurrence
Н.А. Угланова	6	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	5	0.8333	ПРОЦЕСС 2-12 МАРТА 1938 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:6	process_profile_from_document_cooccurrence
С.А. Чихладзе	6	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	5	0.8333	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:6	process_profile_from_document_cooccurrence
Я.Р. Ельковича	6	2	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	0.6667	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	related_case:4 | major_show_trial:2	process_profile_from_document_cooccurrence
А.Ф. Шараповой	6	1	1	КРЕМЛЕВСКОЕ ДЕЛО	6	1.0	КРЕМЛЕВСКОЕ ДЕЛО:6	related_case:6	process_profile_from_document_cooccurrence
В.А. Виноградова	6	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	6	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	related_case:6	process_profile_from_document_cooccurrence
В.В. Глухенко	6	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Г.М. Аркуса	6	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Д.А. Шмидта	6	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	6	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Д.Н. Ширяева	6	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	6	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	related_case:6	process_profile_from_document_cooccurrence
З.И. Давыдовой	6	1	1	КРЕМЛЕВСКОЕ ДЕЛО	6	1.0	КРЕМЛЕВСКОЕ ДЕЛО:6	related_case:6	process_profile_from_document_cooccurrence
И.К. Наумова	6	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	6	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	related_case:6	process_profile_from_document_cooccurrence
И.М. Гуревича	6	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	6	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Л.Я. Файвиловича	6	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	6	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	related_case:6	process_profile_from_document_cooccurrence
М.М. Киллерога	6	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	6	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Н.И. Бураго	6	1	1	КРЕМЛЕВСКОЕ ДЕЛО	6	1.0	КРЕМЛЕВСКОЕ ДЕЛО:6	related_case:6	process_profile_from_document_cooccurrence
П.И. Бескиной	6	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Троцкий	6	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	major_show_trial:6	process_profile_from_document_cooccurrence
Л.С. Сосновского	5	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	0.6	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:5	process_profile_from_document_cooccurrence
В.А. Яковлева	5	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	0.6	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:5	process_profile_from_document_cooccurrence
Л.Ф. Дитятевой	5	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	0.8	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:5	process_profile_from_document_cooccurrence
М.В. Поздеевой	5	2	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	0.8	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	related_case:4 | major_show_trial:1	process_profile_from_document_cooccurrence
А.А. Шестова	5	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	5	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
А.В. Перимова	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
А.Н. Сафоновой	5	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
А.Н. Слепкова	5	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	5	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
А.П. Костиной	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
А.Ю. Айхенвальда	5	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	5	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
А.Ю. Тивеля	5	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	5	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
Б.Н. Розенфельда	5	1	1	КРЕМЛЕВСКОЕ ДЕЛО	5	1.0	КРЕМЛЕВСКОЕ ДЕЛО:5	related_case:5	process_profile_from_document_cooccurrence
В.И. Козырева	5	1	1	КРЕМЛЕВСКОЕ ДЕЛО	5	1.0	КРЕМЛЕВСКОЕ ДЕЛО:5	related_case:5	process_profile_from_document_cooccurrence
В.Я. Головский-Голощапов	5	1	1	КРЕМЛЕВСКОЕ ДЕЛО	5	1.0	КРЕМЛЕВСКОЕ ДЕЛО:5	related_case:5	process_profile_from_document_cooccurrence
Г.В. Соколова	5	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
