person	raw_forms	document_count	total_words	first_date	last_date	process_count	processes	collection_count	collections
С.А. Чихладзе	С.А. Чихладзе	6	10243	1936-08-15T14:27:47	1937-02-08T16:46:30	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Троцкий	Троцкий	6	1867	1930-01-20T17:45:00	1930-04-27T09:50:36	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ОЛЬБЕРГ
Я.Р. Ельковича	Я.Р. Ельковича	6	8486	1935-01-13T00:00:00	1936-11-14T16:56:56	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Шестова	А.А. Шестова	5	26785	1936-08-30T03:20:00	1936-11-27T14:15:03	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Перимова	А.В. Перимова	5	2873	1934-12-25T03:00:00	1935-01-14T08:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Н. Сафоновой	А.Н. Сафоновой	5	8057	1936-03-15T01:00:00	1936-07-19T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Н. Слепкова	А.Н. Слепкова	5	3945	1933-02-10T12:52:37	1935-11-20T12:43:16	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ПРЕДЫСТОРИЯ
А.П. Костиной	А.П. Костиной	5	2585	1934-12-22T05:00:00	1936-05-12T18:29:48	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Ю. Айхенвальда	А.Ю. Айхенвальда | А.Ю. Айхенвальдом	5	2942	1933-02-19T14:16:52	1933-04-17T12:29:25	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ПРЕДЫСТОРИЯ
А.Ю. Тивеля	А.Ю. Тивеля	5	11427	1936-07-31T01:32:00	1936-11-29T08:23:19	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Н. Розенфельда	Б.Н. Розенфельда | Б.Н. Розенфельдом	5	5129	1935-03-02T00:00:00	1935-04-19T00:32:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Яковлева	В.А. Яковлева	5	11434	1936-11-02T16:04:40	1937-02-10T22:07:26	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Козырева	В.И. Козырева	5	5476	1935-02-09T01:27:00	1935-03-13T05:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Я. Головский-Голощапов	В.Я. Головским- | В.Я. Головского-	5	3197	1935-04-09T00:05:00	1935-04-16T04:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.В. Соколова	Г.В. Соколова	5	1423	1934-12-10T03:17:00	1934-12-25T02:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Горшениным	И.С. Горшениным	5	1423	1935-01-04T16:00:00	1935-01-10T14:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.С. Сосновского	Л.С. Сосновским | Л.С. Сосновского	5	15337	1936-08-24T13:35:34	1936-12-07T10:07:03	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Ф. Дитятевой	Л.Ф. Дитятевой	5	10021	1936-07-28T00:32:00	1937-02-05T11:05:53	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Поздеевой	М.В. Поздеевой	5	2896	1934-12-23T02:00:00	1936-08-28T13:07:20	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Рэма	М.С. Рэма	5	2232	1934-12-22T03:00:00	1935-01-02T12:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Царькова	Н.А. Царькова	5	1641	1934-12-17T04:00:00	1935-01-12T00:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Б. Розенфельда	Н.Б. Розенфельда	5	6125	1935-02-28T02:00:00	1935-04-03T00:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Коваленко	П.А. Коваленко	5	5065	1936-03-04T10:37:00	1936-04-27T00:30:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Шемелев	Шемелев	5	9843	1936-02-23T00:42:00	1936-04-20T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.В. Шарова	Я.В. Шарова | Я.В. Шаровым	5	1937	1935-01-04T16:00:00	1935-01-10T10:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.С. Розанова	Я.С. Розанова	5	4137	1936-01-09T00:04:00	1936-03-23T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Мусатова	А.А. Мусатова	4	7909	1936-03-09T00:22:00	1936-04-22T05:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Трояновского	А.А. Трояновского | А.А. Трояновскому	4	711	1937-01-23T20:54:34	1937-01-26T17:58:39	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
А.В. Герцберга	А.В. Герцберга | А.В. Герцбергом	4	1534	1934-12-26T06:00:00	1935-01-07T07:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Г. Колодина	А.Г. Колодина	4	7044	1936-03-08T03:22:00	1936-05-30T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Александрова	А.И. Александрова	4	2883	1934-12-15T04:00:00	1935-01-10T07:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.А. Кушнера	Б.А. Кушнера	4	8244	1936-09-20T00:36:00	1936-12-31T15:43:29	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Осинского	В.В. Осинского	4	2168	1935-03-28T02:00:00	1935-11-14T18:42:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Шмидта	В.В. Шмидта | В.В. Шмидтом	4	16257	1937-02-22T22:14:47	1937-05-22T11:12:23	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Г. Дорошина	В.Г. Дорошина	4	2775	1935-02-04T18:59:00	1935-02-26T02:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Миронова	В.Д. Миронова	4	1967	1935-01-12T07:00:00	1935-01-26T15:57:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Евдокимовым	Г.Е. Евдокимовым	4	6462	1935-01-09T11:00:00	1935-01-12T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Л. Хасина	Г.Л. Хасина	4	4921	1936-03-08T00:21:00	1936-04-10T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.Л. Игнатюка	Д.Л. Игнатюка	4	3188	1935-10-07T18:43:00	1935-12-20T00:04:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Ю. Раевской	Е.Ю. Раевской	4	2353	1935-02-08T02:00:00	1935-04-20T01:36:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.А. Ашрафяна	З.А. Ашрафяна	4	5519	1936-12-14T11:48:45	1937-01-15T11:00:54	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.М. Беленького	З.М. Беленького	4	3446	1935-02-12T15:38:23	1935-04-10T13:44:23	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
И.А. Князева	И.А. Князева	4	10118	1936-11-24T00:29:00	1936-12-14T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Горовича	И.И. Горовича	4	5345	1936-02-27T00:42:00	1936-04-09T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Трусова	И.И. Трусова	4	4226	1936-02-22T01:42:00	1936-04-05T01:23:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Т. Смилги	И.Т. Смилги	4	3859	1929-07-10T11:11:00	1936-09-03T00:36:00	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Ф. Касперского	И.Ф. Касперского	4	1237	1935-01-07T02:00:00	1935-01-17T02:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Ворошилова	К.Е. Ворошилова | К.Е. Ворошилову	4	7430	1935-01-25T01:19:00	1936-10-06T17:03:46	4	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.В. Николаевым	Л.В. Николаевым	4	2030	1934-12-18T01:00:00	1934-12-20T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Сосицкого	Л.И. Сосицкого	4	2256	1934-12-21T03:00:00	1934-12-26T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.П. Томского	М.П. Томского	4	7376	1933-03-05T15:55:06	1936-09-09T14:20:54	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
М.С. Богуславского	М.С. Богуславского	4	7682	1929-10-17T17:44:00	1937-01-18T11:09:24	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Строилова	М.С. Строилова	4	25413	1936-10-08T02:36:00	1936-12-09T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Карева	Н.А. Карева | Н.А. Каревым	4	10657	1933-03-20T08:07:52	1936-07-23T02:32:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Р.В. Пикеля	Р.В. Пикеля	4	10482	1936-06-22T01:14:00	1936-07-22T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.М. Кулишера	Р.М. Кулишера	4	2396	1934-12-15T10:16:00	1934-12-17T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Х. Варданиана	С.Х. Варданиана | С.Х. Варданианом	4	7956	1936-12-19T21:14:12	1937-02-07T19:41:08	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Э.С. Гольцмана	Э.С. Гольцмана	4	6666	1936-04-29T00:00:00	1936-07-05T00:41:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.А. Лившица	Я.А. Лившица	4	13255	1936-09-16T00:23:00	1937-01-19T12:03:03	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Андрееву	А.А. Андрееву	3	1436	1936-05-19T18:37:00	1936-11-25T19:19:49	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
А.А. Докучаева	А.А. Докучаева	3	3591	1936-09-21T02:36:00	1936-10-29T20:59:15	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Е. Авдеевой	А.Е. Авдеевой	3	1334	1935-01-20T01:00:00	1935-01-26T18:49:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Е. Кожуро	А.Е. Кожуро	3	2214	1935-01-05T09:00:00	1935-01-09T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Биркенгофа	А.И. Биркенгофа | А.И. Биркенгофом	3	10189	1936-05-23T01:10:00	1936-06-22T00:14:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Кармалитова	А.И. Кармалитова	3	7828	1933-03-02T15:39:26	1937-02-05T17:07:54	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
А.И. Коновой	А.И. Коновой	3	1681	1935-02-16T00:40:00	1935-03-23T03:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Синелобова	А.И. Синелобова	3	2611	1935-01-31T18:58:00	1935-03-15T05:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.К. Середохина	А.К. Середохина	3	1927	1935-01-01T01:00:00	1935-01-05T08:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Лариной	А.М. Лариной	3	2253	1937-01-12T19:36:36	1938-01-15T08:29:42	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
А.Х. Кантора	А.Х. Кантора	3	5514	1936-03-27T02:00:00	1936-04-22T06:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Я. Свердлова	А.Я. Свердлова	3	1988	1935-03-23T00:00:00	1936-08-18T18:44:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Г. Козелева	Б.Г. Козелева	3	14200	1936-12-25T20:31:16	1937-02-13T17:09:39	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Кузьмичева	Б.И. Кузьмичева	3	3264	1936-07-09T00:10:00	1936-09-03T01:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Нижника	Б.М. Нижника	3	2031	1935-11-16T19:07:00	1935-12-11T01:04:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Оберталлера	Б.М. Оберталлера	3	10231	1936-09-26T01:36:00	1937-01-15T20:49:30	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Тер-Ваганян	В.А. Тер-	3	4985	1936-07-16T00:10:00	1936-08-14T05:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | СПРАВКА
В.В. Румянцевым	В.В. Румянцевым	3	726	1934-12-18T10:00:00	1934-12-25T03:00:00	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Г. Белова	В.Г. Белова	3	2691	1935-03-22T00:00:00	1935-04-23T00:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Г. Яковенко	В.Г. Яковенко	3	9876	1935-04-27T19:18:40	1937-03-22T22:09:50	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Каспаровой	В.Д. Каспаровой	3	2529	1936-11-05T21:51:56	1936-11-11T21:07:49	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.П. Потемкина	В.П. Потемкина | В.П. Потемкину	3	473	1937-01-24T10:34:13	1937-01-27T19:15:27	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Г.Е. Горбачева	Г.Е. Горбачева	3	3748	1935-01-03T14:00:00	1935-01-05T18:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.И. Сафаровым	Г.И. Сафаровым	3	9199	1935-01-04T14:00:00	1935-01-11T09:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.К. Орджоникидзе	Г.К. Орджоникидзе	3	2297	1936-09-07T19:34:56	1937-02-20T09:53:25	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ
Г.М. Артеменко	Г.М. Артеменко	3	2655	1935-09-23T12:37:00	1935-11-04T17:09:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Ф. Овчинникова	Г.Ф. Овчинникова	3	6753	1936-12-17T00:29:00	1937-02-05T11:51:36	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.П. Марецкого	Д.П. Марецкого	3	12832	1933-02-20T14:19:20	1937-03-10T20:25:13	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Е.А. Петровой	Е.А. Петровой	3	2275	1935-03-13T06:00:00	1935-04-01T04:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.К. Коршунова	Е.К. Коршунова | Е.К. Коршунову	3	1819	1934-12-17T08:00:00	1935-01-17T04:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.И. Пелевиной	З.И. Пелевиной	3	2387	1935-10-16T12:39:00	1935-10-30T17:06:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Турока	И.Д. Турока	3	14965	1937-01-03T16:16:25	1937-01-16T15:54:17	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Бурлакова	И.И. Бурлакова	3	7685	1936-10-15T01:36:00	1936-11-06T10:40:51	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Котолыновым	И.И. Котолыновым	3	788	1934-12-17T08:00:00	1934-12-25T04:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.К. Федотова	И.К. Федотова	3	9517	1936-02-28T01:42:00	1936-04-22T00:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Маевского	И.Н. Маевского | И.Н. Маевском	3	6974	1937-01-30T13:02:35	1937-02-22T21:14:21	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Бакаевым	И.П. Бакаевым	3	4890	1935-01-09T11:00:00	1936-07-13T00:10:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.И. Синелобовой	К.И. Синелобовой	3	2410	1935-02-10T03:00:00	1935-03-28T06:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Н. Лукницкого	К.Н. Лукницкого	3	6263	1936-12-05T00:29:00	1937-03-22T11:01:23	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Лаврентьева	Л.А. Лаврентьева	3	2962	1935-11-04T18:10:00	1935-11-15T17:13:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Г. Лелевича	Л.Г. Лелевича	3	1260	1935-01-19T00:00:00	1935-01-27T15:58:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.И. Гасвиани	Л.И. Гасвиани	3	4971	1936-08-26T14:30:36	1937-01-17T12:07:26	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.М. Марьясина	Л.М. Марьясина	3	10048	1937-01-31T22:21:26	1937-02-10T22:25:32	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.О. Ханика	Л.О. Ханика	3	1553	1934-12-13T08:16:00	1934-12-21T05:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Серебрякова	Л.П. Серебрякова	3	8464	1936-12-17T13:13:59	1937-01-15T15:49:24	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Серебряковым	Л.П. Серебряковым	3	7534	1937-01-16T08:01:48	1937-01-17T15:19:34	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Бурштейном	М.В. Бурштейна | М.В. Бурштейном	3	7280	1937-02-02T21:22:13	1937-02-05T21:05:23	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Лурье	М.И. Лурье	3	10585	1936-06-13T01:14:00	1936-08-28T13:07:20	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Л. Быховского	М.Л. Быховского	3	7673	1936-04-27T02:30:00	1936-05-20T02:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.О. Зюка	М.О. Зюка	3	5393	1936-08-21T01:10:00	1936-09-04T01:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.П. Жакова	М.П. Жакова	3	5382	1936-03-16T13:33:46	1936-05-27T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
