person	organization_count	top_organizations	top_families	total_pair_document_sum
Д.П. Бухарцева	6	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Известия:1 | НКВД:1 | Правда:1	party_apparatus:4 | security_apparatus:3 | press_media:2	9
Л.Е. Хосроева	5	ВКП(б):2 | ГУГБ:2 | ИНО ГУГБ:2 | НКВД:2 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:3	9
Л.Н. Минервиной	5	ГУГБ:2 | ИНО ГУГБ:2 | НКВД:2 | ЦИК СССР:2 | ВКП(б):1	security_apparatus:6 | state_apparatus:2 | party_apparatus:1	9
Л.Я. Файвиловича	4	ВКП(б):4 | ГУГБ:2 | ЦК ВКП(б):2 | Политбюро:1	party_apparatus:7 | security_apparatus:2	9
М.И. Новожилова	6	ВКП(б):2 | ГУГБ:2 | НКВД:2 | Политбюро:1 | Секретариат ЦИК СССР:1 | ЦИК СССР:1	security_apparatus:4 | party_apparatus:3 | state_apparatus:2	9
М.Л. Быховского	4	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2 | НКВД:1	party_apparatus:5 | security_apparatus:4	9
М.Н. Рябинина	5	ВКП(б):2 | ГУГБ:2 | ИНО ГУГБ:2 | НКВД:2 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:3	9
М.П. Томского	5	Политбюро:3 | ВКП(б):2 | ЦК ВКП(б):2 | Известия:1 | Правда:1	party_apparatus:7 | press_media:2	9
М.Ф. Постоловского	6	ВКП(б):2 | НКВД:2 | ЦК ВКП(б):2 | ГУГБ:1 | Правда:1 | Совнарком:1	party_apparatus:4 | security_apparatus:3 | state_apparatus:1 | press_media:1	9
Н.В. Комогорова	9	ВКП(б):1 | ГУГБ:1 | Известия:1 | Коминтерн:1 | Лига Наций:1 | НКВД:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	international:2 | press_media:2 | party_apparatus:2 | security_apparatus:2 | state_apparatus:1	9
Н.И. Муралова	6	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1 | Совнарком:1	party_apparatus:5 | security_apparatus:3 | state_apparatus:1	9
Н.П. Михетко	5	ВКП(б):3 | ГУГБ:3 | НКВД:1 | Политбюро:1 | ЦИК СССР:1	security_apparatus:4 | party_apparatus:4 | state_apparatus:1	9
С.М. Закс-Гладнев	8	Коминтерн:2 | ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Политбюро:1 | Правда:1 | ЦИК СССР:1 | ЦК ВКП(б):1	international:3 | party_apparatus:3 | state_apparatus:1 | press_media:1 | security_apparatus:1	9
Седов	4	Правда:4 | ВКП(б):3 | ГУГБ:1 | Коминтерн:1	press_media:4 | party_apparatus:3 | international:1 | security_apparatus:1	9
Я.А. Фуртичева	6	ВКП(б):2 | ГУГБ:2 | Коминтерн:2 | Горьковский крайком ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:3 | international:2	9
Я.Р. Ельковича	4	ВКП(б):3 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:5 | security_apparatus:4	9
Я.Я. Упмал-Ангарский	6	ВКП(б):2 | ГУГБ:2 | Коминтерн:2 | Известия:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | international:2 | security_apparatus:2 | press_media:2	9
А.Е. Кожуро	6	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Правда:1	party_apparatus:4 | security_apparatus:2 | international:1 | press_media:1	8
А.К. Середохина	4	ВКП(б):3 | ЦК ВКП(б):3 | Коминтерн:1 | НКВД:1	party_apparatus:6 | international:1 | security_apparatus:1	8
А.Л. Леонтьева	8	ВКП(б):1 | ГУГБ:1 | Горьковский крайком ВКП(б):1 | КПК:1 | КПК при ЦК ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:2 | press_media:1	8
Б.М. Таля	6	ВКП(б):2 | ЦК ВКП(б):2 | Известия:1 | Коминтерн:1 | НКВД:1 | Политбюро:1	party_apparatus:5 | press_media:1 | international:1 | security_apparatus:1	8
В.А. Ельчаниновой	5	ВКП(б):2 | ГУГБ:2 | ЦИК СССР:2 | НКВД:1 | Секретариат ЦИК СССР:1	state_apparatus:3 | security_apparatus:3 | party_apparatus:2	8
В.Г. Белова	3	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):2	party_apparatus:5 | security_apparatus:3	8
В.М. Рохинсона	5	ВКП(б):2 | ГУГБ:2 | НКВД:2 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:4	8
В.П. Второва	8	ВКП(б):1 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | НКВД:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:2 | press_media:1	8
Г.Е. Пушина	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:4	8
З.И. Давыдовой	4	ГУГБ:5 | ВКП(б):1 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:5 | party_apparatus:3	8
И.И. Котолыновым	5	ГУГБ:3 | НКВД:2 | ВКП(б):1 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:5 | party_apparatus:3	8
И.И. Трусова	3	ГУГБ:4 | ВКП(б):3 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:4	8
К.И. Синелобовой	4	НКВД:3 | ВКП(б):2 | ГУГБ:2 | Политбюро:1	security_apparatus:5 | party_apparatus:3	8
К.С. Дорофеева	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:4	8
Киров	4	ГУГБ:4 | ВКП(б):2 | НКВД:1 | Политбюро:1	security_apparatus:5 | party_apparatus:3	8
Л.Д. Троцкий	4	Коминтерн:4 | Правда:2 | ВКП(б):1 | Известия:1	international:4 | press_media:3 | party_apparatus:1	8
Л.Е. Тамма	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:4	8
Л.И. Пономарева	5	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1	party_apparatus:5 | security_apparatus:3	8
М.В. Бурштейном	4	ГУГБ:3 | НКВД:3 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:6 | party_apparatus:2	8
М.В. Поздеевой	4	ВКП(б):4 | Коминтерн:2 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:5 | international:2 | security_apparatus:1	8
М.И. Сумецкого	4	ВКП(б):2 | ГУГБ:2 | Политбюро:2 | ЦК ВКП(б):2	party_apparatus:6 | security_apparatus:2	8
М.П. Жакова	5	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Коминтерн:1 | Правда:1	party_apparatus:4 | security_apparatus:2 | international:1 | press_media:1	8
М.С. Рэма	3	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2	party_apparatus:6 | security_apparatus:2	8
М.С. Строилова	5	ГУГБ:4 | ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:5 | party_apparatus:2 | press_media:1	8
Н.И. Москалева	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:4	8
Н.Л. Лурье	6	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | ЦИК СССР:1	party_apparatus:4 | security_apparatus:2 | state_apparatus:1 | international:1	8
Н.Н. Шатским	4	ГУГБ:3 | НКВД:3 | ВКП(б):1 | Коминтерн:1	security_apparatus:6 | international:1 | party_apparatus:1	8
С.А. Чихладзе	6	ВКП(б):2 | Совнарком:2 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | state_apparatus:2 | security_apparatus:2 | press_media:1	8
С.Я. Бабахана	5	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1	party_apparatus:5 | security_apparatus:2 | international:1	8
Ф.Г. Иванова	5	ВКП(б):2 | ГУГБ:2 | НКВД:2 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:4	8
Ф.Ф. Фадеева	3	ГУГБ:3 | НКВД:3 | ВКП(б):2	security_apparatus:6 | party_apparatus:2	8
А.А. Бусыгина	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:3	7
А.О. Альского	7	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | international:1 | press_media:1	7
Б.П. Нестерова	7	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Политбюро:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | state_apparatus:1 | press_media:1 | security_apparatus:1	7
В.Д. Вуйовича	7	ВКП(б):1 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | Коминтерн:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:5 | international:1 | security_apparatus:1	7
Г.А. Колоскова	5	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1	party_apparatus:6 | security_apparatus:1	7
Г.Е. Горбачева	4	ВКП(б):3 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1	party_apparatus:6 | international:1	7
Д.И. Матвеева	4	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Совнарком:1	party_apparatus:4 | security_apparatus:2 | state_apparatus:1	7
Д.С. Азбеля	4	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1	party_apparatus:4 | security_apparatus:3	7
Е.А. Афанасьева	4	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1	party_apparatus:4 | security_apparatus:3	7
Е.Ю. Раевской	4	ГУГБ:4 | ВКП(б):1 | Правда:1 | Совнарком:1	security_apparatus:4 | state_apparatus:1 | press_media:1 | party_apparatus:1	7
И.И. Койген	7	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Коминтерн:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | international:2 | security_apparatus:2	7
И.М. Бык-Бек	6	ВКП(б):2 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:2 | international:1	7
И.О. Гольденберга	4	ВКП(б):2 | НКВД:2 | ЦК ВКП(б):2 | ГУГБ:1	party_apparatus:4 | security_apparatus:3	7
К.С. Модебадзе	6	ВКП(б):2 | ГУГБ:1 | НКВД:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | state_apparatus:1 | press_media:1	7
Л.Е. Бурковой	5	ВКП(б):2 | ЦИК СССР:2 | ГУГБ:1 | Политбюро:1 | Правда:1	party_apparatus:3 | state_apparatus:2 | press_media:1 | security_apparatus:1	7
Л.И. Гасвиани	5	ВКП(б):2 | НКВД:2 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3 | press_media:1	7
Л.И. Перельштейн	4	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | Коминтерн:1	party_apparatus:4 | security_apparatus:2 | international:1	7
Л.П. Берии	4	ВКП(б):2 | НКВД:2 | ЦК ВКП(б):2 | Совнарком:1	party_apparatus:4 | security_apparatus:2 | state_apparatus:1	7
Л.Х. Розенблюма	5	ВКП(б):2 | ГУГБ:2 | Верховный Суд СССР:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | judicial_apparatus:1 | press_media:1	7
М.М. Кудряшева	5	ВКП(б):2 | ГУГБ:2 | НКВД:1 | Совнарком:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3 | state_apparatus:1	7
М.М. Чередниченко	5	ГУГБ:2 | НКВД:2 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:2 | press_media:1	7
М.Т. Антонова	4	ВКП(б):2 | Правда:2 | ЦК ВКП(б):2 | НКВД:1	party_apparatus:4 | press_media:2 | security_apparatus:1	7
Н.Б. Скаловой	5	ГУГБ:2 | Коминтерн:2 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	international:2 | security_apparatus:2 | party_apparatus:2 | press_media:1	7
Н.М. Насонова	4	ГУГБ:2 | Коминтерн:2 | НКВД:2 | ВКП(б):1	security_apparatus:4 | international:2 | party_apparatus:1	7
О.П. Дзениса	4	ВКП(б):2 | НКВД:2 | ЦК ВКП(б):2 | ГУГБ:1	party_apparatus:4 | security_apparatus:3	7
П.А. Залуцкого	4	ВКП(б):2 | ГУГБ:2 | НКВД:2 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:3	7
П.К. Александрова	6	ВКП(б):2 | ГУГБ:1 | ИККИ:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:4 | international:1 | press_media:1 | security_apparatus:1	7
С.А. Ратайчаком	4	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2 | НКВД:1	party_apparatus:4 | security_apparatus:3	7
С.С. Зорина	5	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | НКВД:1 | Правда:1	party_apparatus:4 | security_apparatus:2 | press_media:1	7
Т.Р. Левиной	6	ВКП(б):2 | ГУГБ:1 | Коминтерн:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:4 | international:1 | press_media:1 | security_apparatus:1	7
Ф.А. Горбуновой	3	ВКП(б):3 | ГУГБ:3 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:3	7
Х.Г. Раковского	5	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | Известия:1 | НКВД:1	party_apparatus:4 | security_apparatus:2 | press_media:1	7
А.А. Трояновского	2	НКИД:3 | Политбюро:3	state_apparatus:3 | party_apparatus:3	6
А.В. Герцберга	4	ГУГБ:2 | Коминтерн:2 | ВКП(б):1 | НКВД:1	security_apparatus:3 | international:2 | party_apparatus:1	6
А.В. Луговой-Левенштейн	5	ВКП(б):2 | ГУГБ:1 | Известия:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:4 | press_media:1 | security_apparatus:1	6
А.В. Румянцева	5	ВКП(б):2 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:2	6
А.В. Травиной	6	ВКП(б):1 | Известия:1 | НКВД:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	press_media:2 | party_apparatus:2 | state_apparatus:1 | security_apparatus:1	6
А.И. Гальперина	6	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | press_media:1	6
А.И. Потяева	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:2	6
А.Я. Свердлова	5	ВКП(б):2 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:5 | security_apparatus:1	6
В.В. Осинского	5	ГУГБ:2 | ВКП(б):1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
В.В. Румянцевым	3	ГУГБ:3 | НКВД:2 | ВКП(б):1	security_apparatus:5 | party_apparatus:1	6
В.И. Звездовым	5	ГУГБ:2 | ВКП(б):1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
В.Н. Слепкова	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | press_media:1 | security_apparatus:1	6
В.Н. Яковлевой	4	ВКП(б):2 | ЦК ВКП(б):2 | НКВД:1 | Совнарком:1	party_apparatus:4 | state_apparatus:1 | security_apparatus:1	6
В.Ф. Головина	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):2	party_apparatus:4 | security_apparatus:2	6
В.Я. Головский-Голощапов	2	ГУГБ:5 | ВКП(б):1	security_apparatus:5 | party_apparatus:1	6
Г.Б. Либермана	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	6
Г.Л. Шкловского	5	ВКП(б):2 | ГУГБ:1 | Коминтерн:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:3 | state_apparatus:1 | international:1 | security_apparatus:1	6
Д.З. Мануильскому	5	ИККИ:2 | ВКП(б):1 | Коминтерн:1 | НКВД:1 | Правда:1	international:3 | press_media:1 | security_apparatus:1 | party_apparatus:1	6
Д.И. Антипаса	4	ВКП(б):2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1	party_apparatus:5 | security_apparatus:1	6
Д.П. Розита	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | press_media:1 | security_apparatus:1	6
Е.В. Рогачевой	3	ГУГБ:2 | НКВД:2 | ОО ГУГБ НКВД:2	security_apparatus:6	6
Е.М. Манюрин-Броварский	4	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:2	6
Е.Р. Майера	4	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:2	6
И.А. Акулову	6	ВКП(б):1 | НКВД:1 | Правда:1 | Секретариат ЦИК СССР:1 | ЦИК СССР:1 | ЦК ВКП(б):1	state_apparatus:2 | party_apparatus:2 | press_media:1 | security_apparatus:1	6
И.А. Мальгина	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	6
И.А. Масленникова	6	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
И.Е. Павлова	4	ВКП(б):2 | ГУГБ:2 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
И.И. Граше	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	6
И.Н. Зеликсона	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | ОО ГУГБ НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2 | international:1	6
К.И. Грюнштейна	4	ВКП(б):2 | НКВД:2 | ГУГБ:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
М.А. Жарикова	4	ВКП(б):2 | ГУГБ:2 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
М.А. Нырчука	3	НКВД:3 | ГУГБ:2 | ВКП(б):1	security_apparatus:5 | party_apparatus:1	6
М.Г. Грольмана	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | international:1	6
М.Г. Сафьянова	4	ВКП(б):2 | ГУГБ:2 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2 | international:1	6
М.И. Ганштака	6	ВКП(б):1 | НКВД:1 | Правда:1 | Секретариат ЦИК СССР:1 | ЦИК СССР:1 | ЦК ВКП(б):1	state_apparatus:2 | party_apparatus:2 | press_media:1 | security_apparatus:1	6
М.Л. Левина	6	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Известия:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	6
М.М. Карпова	6	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:3 | state_apparatus:1 | press_media:1 | security_apparatus:1	6
М.С. Голендо	6	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | state_apparatus:1 | press_media:1	6
Н.В. Буинцева	3	ВКП(б):2 | ГУГБ:2 | Правда:2	press_media:2 | security_apparatus:2 | party_apparatus:2	6
Н.И. Трубиева	6	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	6
Н.М. Маторина	4	ВКП(б):2 | ГУГБ:2 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
О.А. Мешковской	6	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | КПК:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:3 | international:2 | security_apparatus:1	6
О.Ф. Янкуса	6	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Коминтерн:1 | НКВД:1 | ЦК ВКП(б):1	international:2 | party_apparatus:2 | security_apparatus:2	6
П.Н. Нечаева	3	ВКП(б):2 | ГУГБ:2 | НКВД:2	security_apparatus:4 | party_apparatus:2	6
С.А. Гоглидзе	4	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:2	6
С.П. Минаева	4	ГУГБ:2 | НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:4 | party_apparatus:2	6
Т.В. Мешковского	6	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | press_media:1 | security_apparatus:1	6
Т.Г. Гатаулина	5	ГУГБ:2 | ВКП(б):1 | Горьковский крайком ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
Ю.М. Бочарова	4	ВКП(б):2 | ГУГБ:2 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:3	6
А.А. Муштакова	3	ВКП(б):2 | ГУГБ:2 | НКВД:1	security_apparatus:3 | party_apparatus:2	5
А.А. Табанакова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
А.В. Бочарова	5	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | press_media:1 | security_apparatus:1	5
А.Е. Авдеевой	3	ГУГБ:3 | ВКП(б):1 | НКВД:1	security_apparatus:4 | party_apparatus:1	5
А.М. Кашкина	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
А.М. Сосипатрова	5	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	security_apparatus:2 | party_apparatus:2 | press_media:1	5
А.М. Штейна	4	ГУГБ:2 | ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
А.П. Загорулько	3	ГУГБ:2 | НКВД:2 | ВКП(б):1	security_apparatus:4 | party_apparatus:1	5
А.Ф. Ульянова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | НКИД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	5
Б.Е. Алдаданова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
Б.Е. Барского	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
Б.Л. Колесникова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
В.Д. Вуйовичем	5	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | security_apparatus:1	5
В.Д. Томленова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
В.К. Путны	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
В.К. Сотскова	5	ВКП(б):1 | КПК:1 | КПК при ЦК ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:1	5
В.Н. Голованова	4	ГУГБ:2 | ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
В.П. Потемкина	4	НКИД:2 | ВКП(б):1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | state_apparatus:2	5
Г.А. Татулова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
Г.Б. Берндта	5	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3 | international:1 | party_apparatus:1	5
Г.П. Вяткина	5	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | international:1 | security_apparatus:1	5
Г.С. Герасимато	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
Г.С. Зайделя	5	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
Д.А. Карцева	3	ВКП(б):2 | ГУГБ:2 | Правда:1	security_apparatus:2 | party_apparatus:2 | press_media:1	5
Е.Б. Федосеева	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
Е.И. Майзлиной	4	ГУГБ:2 | ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
З.Д. Ханик	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | Правда:1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
З.Е. Саркисьяна	5	ВКП(б):1 | НКВД:1 | Правда:1 | ЦИК СССР:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | press_media:1 | security_apparatus:1	5
З.И. Фридмана	5	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Коминтерн:1 | Правда:1	international:2 | press_media:1 | security_apparatus:1 | party_apparatus:1	5
И.В. Любина	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
И.Д. Гаврикова	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
