person	organization_count	top_organizations	top_families	total_pair_document_sum
М.В. Дубовской	1	ГУГБ:1	security_apparatus:1	1
М.Г. Короп	1	НКВД:1	security_apparatus:1	1
М.И. Томской	1	Правда:1	press_media:1	1
М.Н. Авдеева	1	ВКП(б):1	party_apparatus:1	1
М.П. Стремякова	1	ВКП(б):1	party_apparatus:1	1
Н.А. Царькова	1	Правда:1	press_media:1	1
Н.Д. Зарицкого	1	ЦИК СССР:1	state_apparatus:1	1
Н.И. Андреева	1	ГУГБ:1	security_apparatus:1	1
Н.К. Магдарьева	1	ГУГБ:1	security_apparatus:1	1
Н.М. Гальперина	1	ГУГБ:1	security_apparatus:1	1
Н.Р. Кикнадзе	1	НКВД:1	security_apparatus:1	1
П.А. Бака	1	ВКП(б):1	party_apparatus:1	1
П.В. Чистову	1	НКВД:1	security_apparatus:1	1
П.Г. Орлова	1	ВКП(б):1	party_apparatus:1	1
П.И. Бакаева	1	НКВД:1	security_apparatus:1	1
П.И. Бескиной	1	Известия:1	press_media:1	1
П.П. Северова	1	ВКП(б):1	party_apparatus:1	1
П.Ф. Поляковым	1	ГУГБ:1	security_apparatus:1	1
С.А. Руднева	1	ГУГБ:1	security_apparatus:1	1
С.А. Шахиджанян	1	ГУГБ:1	security_apparatus:1	1
С.Г. Виноградова	1	ВКП(б):1	party_apparatus:1	1
С.Ф. Гелашвили	1	ВКП(б):1	party_apparatus:1	1
Ф.Д. Корнюшина	1	ВКП(б):1	party_apparatus:1	1
Э.Б. Абрамсона	1	ВКП(б):1	party_apparatus:1	1
Ю.Б. Тартаковской	1	ВКП(б):1	party_apparatus:1	1
Я.П. Новикова	1	ГУГБ:1	security_apparatus:1	1
