canonical_person_a	canonical_person_b	document_count
Бурштейном	Мучниковым	1
Бурштейном	Домбровским	1
Ежов	Раввы	1
Раввы	Сталин	1
Непомнящего	Орджоникидзе	1
Ежов	Мдивани	1
Мдивани	Сталин	1
Ежов	Кармалитова	1
Кармалитова	Сталин	1
Ежов	Нестерова	1
Нестерова	Сталин	1
Агранов	Емшанова	1
Емшанова	Сталин	1
Бурштейна	Ежов	1
Бурштейна	Сталин	1
Алдаданова	Ежов	1
Алдаданова	Сталин	1
Ежов	Миронова	1
Ежов	Травиной	1
Сталин	Травиной	1
Ежов	Ерофицкого	1
Ерофицкого	Сталин	1
Дорофеева	Сталин	1
Кахиани	Сталин	1
Ежов	Кахиани	1
Каганович	Кахиани	1
Кахиани	Маевском	1
Маевском	Сталин	1
Ежов	Маевском	1
Каганович	Маевском	1
Ежов	Любарского	1
Любарского	Сталин	1
Грольмана	Ежов	1
Грольмана	Сталин	1
Литвинова	Сталин	1
Потемкина	Сталин	1
Ежов	Луцука	1
Луцука	Сталин	1
Крестинского	Трояновскому	1
Раковского	Ульриху	1
Ежов	Ульриху	1
Мехлиса	Муралова	1
Калинину	Сталин	1
Ежов	Левиной	1
Левиной	Сталин	1
Агранов	Слепкова	1
Агранов	Петровского	1
Петровского	Сталин	1
Грюнштейна	Ягода	1
Грюнштейна	Сталин	1
Рудзутаку	Цетлина	1
Молчанову	Цетлина	1
Рудзутаку	Сталин	1
Молчанову	Сталин	1
Агранов	Рудзутаку	1
Молчанову	Рудзутаку	1
Агранов	Молчанову	1
Айхенвальдом	Сниткиным	1
Цетлина	Ягода	1
Айхенвальдом	Астров	1
Агранов	Башенкова	1
Башенкова	Сталин	1
Агранов	Астров	1
Гольденберга	Сталин	1
Арефьевым	Слепковым	1
Бузиным	Углановым	1
Агранов	Бузина	1
Бузина	Сталин	1
Агранов	Молчанова	1
Молчанова	Цетлина	1
Сталин	Угланова	1
Агранов	Кузьмина	1
Айхенвальда	Сталин	1
Кузьмина	Ягода	1
Каменев	Ярославским	1
Рамм-	Троцкий	1
Богуславского	Смирнов	1
Преображенского	Радек	1
Преображенского	Смилги	1
Радек	Смилги	1
Антонова-	Крестинского	1
Ежов	Раковском	1
Раковском	Сталин	1
Лившиц	Сталин	1
Крестинского	Потемкину	1
Ежов	Язовских	1
Сталин	Язовских	1
Ежов	Татулова	1
Сталин	Татулова	1
Ежов	Шевелева-	1
Сталин	Шевелева-	1
Ежов	Медведева	1
Медведева	Сталин	1
Ежов	Тодорской	1
Сталин	Тодорской	1
Агранов	Шермергорна	1
Ежов	Кузнецова	1
Авербахе	Ежов	1
Кузнецова	Сталин	1
Авербахе	Сталин	1
Авербахе	Кузнецова	1
Дробнисом	Ежов	1
Дробнисом	Сталин	1
Дробнисом	Пятаков	1
Радек	Серебряковым	1
Ежов	Кавтарадзе	1
Кавтарадзе	Сталин	1
Ежов	Лившицем	1
Лившицем	Сталин	1
Лившицем	Серебряковым	1
Ежов	Федосеева	1
Сталин	Федосеева	1
Пятаков	Серебряковым	1
Пятаков	Ратайчаком	1
Ежов	Трофимова	1
Сталин	Трофимова	1
Радек	Сокольников	1
Пятаков	Радек	1
Ашрафяна	Ежов	1
Ашрафяна	Сталин	1
Ежов	Янкуса	1
Сталин	Янкуса	1
Бухарин	Радек	1
Астров	Бухарин	1
Ежов	Зенцова	1
Зенцова	Сталин	1
Ежов	Манюрина-	1
Манюрина-	Сталин	1
Ежов	Лупашко	1
Лупашко	Сталин	1
Багирова	Сталин	1
Багирова	Нариманова	1
Нариманова	Сталин	1
Быстрова	Ежов	1
Быстрова	Сталин	1
Вечерковского	Ежов	1
Вечерковского	Сталин	1
Барского	Ежов	1
Барского	Сталин	1
Берману	Кедрова	1
Кедрова	Кушнера	1
Берману	Кушнера	1
Малинова	Сталин	1
Колотилина	Малинова	1
Колотилина	Сталин	1
