document_type	sample_no	document_post_id	content_chars	content_words	primary_process	document_title	sample_path	document_url
interrogation_protocol	3	3959	5406	848	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол допроса А.К. Середохина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/03_3959_._..txt	http://showtrials.ru/protokol-doprosa-a-k-seredohina/
interrogation_protocol	4	5653	9554	1424	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Протокол допроса Я.П. Гальперина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/04_5653_._..txt	http://showtrials.ru/protokol-doprosa-ya-p-galperina/
interrogation_protocol	5	5863	64769	9705	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/05_5863_._..txt	http://showtrials.ru/protokol-doprosa-m-s-stroilova/
interrogation_protocol	6	5879	45255	6687	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/06_5879_._..txt	http://showtrials.ru/protokol-doprosa-m-s-stroilova-2/
interrogation_protocol	7	8702	42797	6338	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол допроса Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/07_8702_._..txt	http://showtrials.ru/protokol-doprosa-n-i-buharina/
interrogation_protocol	8	5850	39321	5838	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса Я.И. Зайдмана	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/08_5850_._..txt	http://showtrials.ru/protokol-doprosa-ya-i-zajdmana/
session_transcript	1	2538	1793	232	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	27 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАКРЫТОЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/01_2538_27.txt	http://showtrials.ru/27-yanvarya-vechernee-zakrytoe-zasedanie/
session_transcript	2	9420	26153	4054	КРЕМЛЕВСКОЕ ДЕЛО	Фрагмент стенограммы заседания парткома ИККИ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/02_9420_sample.txt	http://showtrials.ru/fragment-stenogrammy-zasedaniya-partkoma-ikki/
session_transcript	3	2526	109501	16398	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	26 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/03_2526_26.txt	http://showtrials.ru/26-yanvarya-utrennee-zasedanie/
session_transcript	4	2478	145161	22083	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	21 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/04_2478_21.txt	http://showtrials.ru/21-avgusta-utrennee-zasedanie/
