document_post_id	document_title	primary_process	package_likelihood	attachment_type	dominant_attachment_type
5605	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса А.Н. Фокина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5611	Спецсообщение Г.Г. Ягоды с приложением протокола допроса О.И. Смирновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5612	Спецсообщение Г.Е. Прокофьева И.В. Сталину об аресте Г.Л. Шкловского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	possible	memo	memo
5613	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса Я.А. Фуртичева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5617	Спецсообщение Г.Е. Прокофьева И.В. Сталину с прриложением допроса И.Я. Одыня	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	possible	interrogation_protocol	interrogation_protocol
5621	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса В.П. Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5623	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса П.П. Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5623	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса П.П. Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
5625	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса Х.Г. Гуревича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5629	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.Н. Смирнова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5629	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.Н. Смирнова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5630	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса А.А. Бусыгина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5631	Спецсообщение Г.Е. Прокофьева с приложением протокола допроса М.Л. Быховского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5631	Спецсообщение Г.Е. Прокофьева с приложением протокола допроса М.Л. Быховского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5636	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.И. Биркенгофа	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5636	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.И. Биркенгофа	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	theses	interrogation_protocol
5639	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.П. Жакова и двух писем	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5639	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.П. Жакова и двух писем	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5639	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.П. Жакова и двух писем	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
5641	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.Н. Яковлева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5641	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.Н. Яковлева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	memo	interrogation_protocol
5644	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5647	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Н.Ф. Печерского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
5647	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Н.Ф. Печерского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	list	interrogation_protocol
