item_id	href	resolved_url	label	is_html	is_external	source_class	target_path
P2004-0055	documents/Bukharin/Bukharin_Letters.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Letters.doc	Телеграмма Н.И. Бухарина Сталину из Ташкента от 24 августа 1936 г. Письма: Бухарин – членам Политбюро и Вышинскому от 27 августа 1936 г., Бухарин – Ворошилову от 31 августа 1936 г., Ворошилов – Бухарину от 3 сентября 1936 г., Бухарин – Ворошилову от 3 сентября 1936 г., Каганович – Сталину от 14 сентября 1936 г., Бухарин – Сталину от 10 декабря 1937 г., Бухарин – Лариной от 15 января 1938 г	no	no	internal	data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Letters.doc
P2004-0056	documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc	http://perpetrator2004.narod.ru/documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc	Письмо будущему поколению руководителей партии	no	no	internal	data/perpetrator2004/raw/mirror/documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc
P2004-0057	documents/Lenin/Letter_to_the_Congress.doc	http://perpetrator2004.narod.ru/documents/Lenin/Letter_to_the_Congress.doc	Ленин: Письмо к съезду и вокруг него	no	no	internal	data/perpetrator2004/raw/mirror/documents/Lenin/Letter_to_the_Congress.doc
P2004-0058	documents/Show_Trials/Orlov_Prison_Shooting.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Orlov_Prison_Shooting.doc	Документы о расстреле заключенных Орловской тюрьмы	no	no	internal	data/perpetrator2004/raw/mirror/documents/Show_Trials/Orlov_Prison_Shooting.doc
P2004-0059	documents/Lenin/Church_Values_Confiscation.doc	http://perpetrator2004.narod.ru/documents/Lenin/Church_Values_Confiscation.doc	Письмо Ленина Молотову об изъятии церковных ценностей от 19 марта 1922 г	no	no	internal	data/perpetrator2004/raw/mirror/documents/Lenin/Church_Values_Confiscation.doc
P2004-0060	documents/kirov/Kozlov_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Kozlov_Memo.doc	Записка Ф.Р. Козлова в ЦК КПСС	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Kozlov_Memo.doc
P2004-0061	documents/kirov/Record_No_2.doc	http://perpetrator2004.narod.ru/documents/kirov/Record_No_2.doc	Протокол № 2	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Record_No_2.doc
P2004-0062	documents/kirov/Serov_Memo_Volkova.doc	http://perpetrator2004.narod.ru/documents/kirov/Serov_Memo_Volkova.doc	Записка И.А.Серова А. Б. Аристову	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Serov_Memo_Volkova.doc
P2004-0063	documents/kirov/Molotov_Commission_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Molotov_Commission_Memo.doc	Записка комиссии ЦК КПСС под председательством В.М. Молотова	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Molotov_Commission_Memo.doc
P2004-0064	documents/kirov/Molotov_Commission_Borisov.doc	http://perpetrator2004.narod.ru/documents/kirov/Molotov_Commission_Borisov.doc	Записка комиссии ЦК КПСС под председательством В.М.Молотова ЦК КПСС об обстоятельствах гибели М.В. Борисова	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Molotov_Commission_Borisov.doc
P2004-0065	documents/kirov/Shatunovskaya_Letters.doc	http://perpetrator2004.narod.ru/documents/kirov/Shatunovskaya_Letters.doc	Письма О.Г. Шатуновской членам Политбюро об обстоятельствах убийства С.М. Кирова	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Shatunovskaya_Letters.doc
P2004-0066	documents/kirov/CCC_Memo_Shatunovskaya.doc	http://perpetrator2004.narod.ru/documents/kirov/CCC_Memo_Shatunovskaya.doc	Записка Центральной контрольной комиссии КП РСФСР в ЦК КПСС о результатах проверки заявлений О.Г. Шатуновской	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/CCC_Memo_Shatunovskaya.doc
P2004-0067	documents/kirov/Yakovlev_Memo.doc	http://perpetrator2004.narod.ru/documents/kirov/Yakovlev_Memo.doc	Записка А.Н. Яковлева	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Yakovlev_Memo.doc
P2004-0068	documents/kirov/Krov_Assassination_Memo_GPO_KGB.doc	http://perpetrator2004.narod.ru/documents/kirov/Krov_Assassination_Memo_GPO_KGB.doc	Справка работников прокуратуры СССР и следственного отдела КГБ СССР	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Krov_Assassination_Memo_GPO_KGB.doc
P2004-0069	documents/Great_Terror/Shvernik_Report.rar	http://perpetrator2004.narod.ru/documents/Great_Terror/Shvernik_Report.rar	Доклад комиссии Шверника	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Shvernik_Report.rar
P2004-0070	documents/Great_Terror/CEC_Order_dated_1_12_1934.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/CEC_Order_dated_1_12_1934.doc	Постановление Президиума ЦИК СССР от 1 декабря 1934 г	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/CEC_Order_dated_1_12_1934.doc
P2004-0071	documents/Great_Terror/Number_of_Arrested_Condemned_by_Organs.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Number_of_Arrested_Condemned_by_Organs.doc	Справки спецотдела МВД СССР о количестве арестованных и осужденных органами ВЧК - ОГПУ - НКВД - МГБ СССР в 1921 -1953 гг.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Number_of_Arrested_Condemned_by_Organs.doc
